Pair: (WICKET-85, WICKET-83), Cosine Score: 0.7440885305404663, Label: 1
Pair: (WICKET-4692, WICKET-4153), Cosine Score: 0.9035634994506836, Label: 1
Pair: (WICKET-4700, WICKET-3947), Cosine Score: 0.9000017046928406, Label: 1
Pair: (WICKET-4700, WICKET-4382), Cosine Score: 0.8678433299064636, Label: 1
Pair: (WICKET-4747, WICKET-4737), Cosine Score: 0.9445635676383972, Label: 1
Pair: (WICKET-4803, WICKET-4493), Cosine Score: 0.9726775288581848, Label: 1
Pair: (WICKET-4843, WICKET-4423), Cosine Score: 0.8449219465255737, Label: 1
Pair: (WICKET-4848, WICKET-4799), Cosine Score: 0.8145890831947327, Label: 1
Pair: (WICKET-4868, WICKET-4623), Cosine Score: 0.7174943685531616, Label: 1
Pair: (WICKET-4874, WICKET-3947), Cosine Score: 0.8229905366897583, Label: 1
Pair: (WICKET-4874, WICKET-4382), Cosine Score: 0.8291946053504944, Label: 1
Pair: (WICKET-4874, WICKET-4700), Cosine Score: 0.7686712741851807, Label: 1
Pair: (WICKET-4875, WICKET-4408), Cosine Score: 0.8228906989097595, Label: 1
Pair: (WICKET-4990, WICKET-4705), Cosine Score: 0.9271947741508484, Label: 1
Pair: (WICKET-5009, WICKET-4973), Cosine Score: 0.9921553134918213, Label: 1
Pair: (WICKET-5032, WICKET-4877), Cosine Score: 0.9640081524848938, Label: 1
Pair: (WICKET-5101, WICKET-1771), Cosine Score: 0.9131198525428772, Label: 1
Pair: (WICKET-5134, WICKET-5084), Cosine Score: 0.9178693294525146, Label: 1
Pair: (WICKET-5153, WICKET-5145), Cosine Score: 0.777069628238678, Label: 1
Pair: (WICKET-5195, WICKET-5185), Cosine Score: 0.8805459141731262, Label: 1
Pair: (WICKET-5202, WICKET-5193), Cosine Score: 0.9034009575843811, Label: 1
Pair: (WICKET-5214, WICKET-3947), Cosine Score: 0.8546571731567383, Label: 1
Pair: (WICKET-5214, WICKET-4382), Cosine Score: 0.8380683064460754, Label: 1
Pair: (WICKET-5214, WICKET-4700), Cosine Score: 0.8450648784637451, Label: 1
Pair: (WICKET-5214, WICKET-4874), Cosine Score: 0.8279986381530762, Label: 1
Pair: (WICKET-5245, WICKET-5207), Cosine Score: 0.5834684371948242, Label: 1
Pair: (WICKET-5253, WICKET-5226), Cosine Score: 0.9058535099029541, Label: 1
Pair: (WICKET-5323, WICKET-5282), Cosine Score: 0.934657871723175, Label: 1
Pair: (WICKET-5383, WICKET-5378), Cosine Score: 0.8528191447257996, Label: 1
Pair: (WICKET-5428, WICKET-5413), Cosine Score: 0.8248890042304993, Label: 1
Pair: (WICKET-5440, WICKET-4545), Cosine Score: 0.946547269821167, Label: 1
Pair: (WICKET-5440, WICKET-4654), Cosine Score: 0.8060163259506226, Label: 1
Pair: (WICKET-5461, WICKET-5235), Cosine Score: 0.8017725944519043, Label: 1
Pair: (WICKET-5480, WICKET-5462), Cosine Score: 0.7669534087181091, Label: 1
Pair: (WICKET-5481, WICKET-5469), Cosine Score: 0.893043041229248, Label: 1
Pair: (WICKET-5525, WICKET-5521), Cosine Score: 0.9261177778244019, Label: 1
Pair: (WICKET-5540, WICKET-5509), Cosine Score: 0.9401567578315735, Label: 1
Pair: (WICKET-5599, WICKET-5597), Cosine Score: 0.7836727499961853, Label: 1
Pair: (WICKET-5681, WICKET-5539), Cosine Score: 0.8917498588562012, Label: 1
Pair: (WICKET-5690, WICKET-3947), Cosine Score: 0.883679986000061, Label: 1
Pair: (WICKET-5690, WICKET-4382), Cosine Score: 0.8867509365081787, Label: 1
Pair: (WICKET-5690, WICKET-4700), Cosine Score: 0.8335945010185242, Label: 1
Pair: (WICKET-5690, WICKET-4874), Cosine Score: 0.9257870316505432, Label: 1
Pair: (WICKET-5690, WICKET-5214), Cosine Score: 0.8718541860580444, Label: 1
Pair: (WICKET-5781, WICKET-5755), Cosine Score: 0.8270647525787354, Label: 1
Pair: (WICKET-5811, WICKET-5804), Cosine Score: 0.9325345754623413, Label: 1
Pair: (WICKET-5813, WICKET-5812), Cosine Score: 0.907627284526825, Label: 1
Pair: (WICKET-5844, WICKET-5843), Cosine Score: 1, Label: 1
Pair: (WICKET-5880, WICKET-5879), Cosine Score: 0.8135412335395813, Label: 1
Pair: (WICKET-5946, WICKET-4460), Cosine Score: 0.8611741065979004, Label: 1
Pair: (WICKET-5963, WICKET-5839), Cosine Score: 0.7788705825805664, Label: 1
Pair: (WICKET-6009, WICKET-5978), Cosine Score: 0.8794481754302979, Label: 1
Pair: (WICKET-6012, WICKET-4460), Cosine Score: 0.907865047454834, Label: 1
Pair: (WICKET-6012, WICKET-5946), Cosine Score: 0.8976762890815735, Label: 1
Pair: (WICKET-6016, WICKET-5978), Cosine Score: 0.8097110986709595, Label: 1
Pair: (WICKET-6016, WICKET-6009), Cosine Score: 0.8081698417663574, Label: 1
Pair: (WICKET-6034, WICKET-6013), Cosine Score: 0.940524697303772, Label: 1
Pair: (WICKET-3985, WICKET-4753), Cosine Score: 0.5799144506454468, Label: 0
Pair: (WICKET-2463, WICKET-2944), Cosine Score: 0.7856979966163635, Label: 0
Pair: (WICKET-684, WICKET-5325), Cosine Score: 0.6654873490333557, Label: 0
Pair: (WICKET-108, WICKET-2799), Cosine Score: 0.7267696261405945, Label: 0
Pair: (WICKET-3197, WICKET-4099), Cosine Score: 0.8011372089385986, Label: 0
Pair: (WICKET-23, WICKET-3506), Cosine Score: 0.6077067255973816, Label: 0
Pair: (WICKET-4250, WICKET-3217), Cosine Score: 0.6539745330810547, Label: 0
Pair: (WICKET-4663, WICKET-453), Cosine Score: 0.741074800491333, Label: 0
Pair: (WICKET-4627, WICKET-4339), Cosine Score: 0.8023903369903564, Label: 0
Pair: (WICKET-2582, WICKET-2773), Cosine Score: 0.802179753780365, Label: 0
Pair: (WICKET-5638, WICKET-5119), Cosine Score: 0.5102514624595642, Label: 0
Pair: (WICKET-3957, WICKET-139), Cosine Score: 0.5205561518669128, Label: 0
Pair: (WICKET-2945, WICKET-3889), Cosine Score: 0.6846614480018616, Label: 0
Pair: (WICKET-3783, WICKET-3461), Cosine Score: 0.7577916979789734, Label: 0
Pair: (WICKET-3601, WICKET-1413), Cosine Score: 0.685912013053894, Label: 0
Pair: (WICKET-5075, WICKET-1814), Cosine Score: 0.6397770643234253, Label: 0
Pair: (WICKET-4825, WICKET-3053), Cosine Score: 0.5921317934989929, Label: 0
Pair: (WICKET-1909, WICKET-5365), Cosine Score: 0.6553663015365601, Label: 0
Pair: (WICKET-403, WICKET-3810), Cosine Score: 0.6795077919960022, Label: 0
Pair: (WICKET-2339, WICKET-3442), Cosine Score: 0.812082052230835, Label: 0
Pair: (WICKET-2568, WICKET-5155), Cosine Score: 0.48441949486732483, Label: 0
Pair: (WICKET-2078, WICKET-2149), Cosine Score: 0.8138788938522339, Label: 0
Pair: (WICKET-2573, WICKET-4182), Cosine Score: 0.5090265274047852, Label: 0
Pair: (WICKET-2564, WICKET-5293), Cosine Score: 0.5931862592697144, Label: 0
Pair: (WICKET-1139, WICKET-216), Cosine Score: 0.6760613322257996, Label: 0
Pair: (WICKET-1214, WICKET-5288), Cosine Score: 0.7246906757354736, Label: 0
Pair: (WICKET-1801, WICKET-3210), Cosine Score: 0.5147117972373962, Label: 0
Pair: (WICKET-2496, WICKET-1076), Cosine Score: 0.7421366572380066, Label: 0
Pair: (WICKET-1916, WICKET-5682), Cosine Score: 0.820624053478241, Label: 0
Pair: (WICKET-2412, WICKET-5028), Cosine Score: 0.7064332365989685, Label: 0
Pair: (WICKET-1665, WICKET-589), Cosine Score: 0.5591732263565063, Label: 0
Pair: (WICKET-3499, WICKET-2703), Cosine Score: 0.8113621473312378, Label: 0
Pair: (WICKET-968, WICKET-1619), Cosine Score: 0.5910654067993164, Label: 0
Pair: (WICKET-2625, WICKET-5409), Cosine Score: 0.6712843179702759, Label: 0
Pair: (WICKET-4745, WICKET-341), Cosine Score: 0.6016770005226135, Label: 0
Pair: (WICKET-3709, WICKET-3309), Cosine Score: 0.35972410440444946, Label: 0
Pair: (WICKET-626, WICKET-4312), Cosine Score: 0.7902839183807373, Label: 0
Pair: (WICKET-413, WICKET-4089), Cosine Score: 0.5326126217842102, Label: 0
Pair: (WICKET-4581, WICKET-5487), Cosine Score: 0.8064934611320496, Label: 0
Pair: (WICKET-4370, WICKET-21), Cosine Score: 0.5770187377929688, Label: 0
Pair: (WICKET-2662, WICKET-2033), Cosine Score: 0.8772394061088562, Label: 0
Pair: (WICKET-1003, WICKET-5065), Cosine Score: 0.37568533420562744, Label: 0
Pair: (WICKET-242, WICKET-312), Cosine Score: 0.5577585101127625, Label: 0
Pair: (WICKET-2907, WICKET-2217), Cosine Score: 0.5654774308204651, Label: 0
Pair: (WICKET-580, WICKET-2415), Cosine Score: 0.8006443381309509, Label: 0
Pair: (WICKET-50, WICKET-4893), Cosine Score: 0.46872416138648987, Label: 0
Pair: (WICKET-1297, WICKET-2108), Cosine Score: 0.7370107769966125, Label: 0
Pair: (WICKET-550, WICKET-4859), Cosine Score: 0.5340843200683594, Label: 0
Pair: (WICKET-590, WICKET-2380), Cosine Score: 0.6882432103157043, Label: 0
Pair: (WICKET-2814, WICKET-3168), Cosine Score: 0.784098207950592, Label: 0
Pair: (WICKET-2332, WICKET-1274), Cosine Score: 0.7899349927902222, Label: 0
Pair: (WICKET-2602, WICKET-4727), Cosine Score: 0.4997063875198364, Label: 0
Pair: (WICKET-5081, WICKET-4990), Cosine Score: 0.7679648995399475, Label: 0
Pair: (WICKET-5958, WICKET-5624), Cosine Score: 0.7329915761947632, Label: 0
Pair: (WICKET-2526, WICKET-3118), Cosine Score: 0.4380991458892822, Label: 0
Pair: (WICKET-4815, WICKET-3002), Cosine Score: 0.5875774621963501, Label: 0
Pair: (WICKET-2537, WICKET-2952), Cosine Score: 0.6941821575164795, Label: 0
Pair: (WICKET-5948, WICKET-692), Cosine Score: 0.7948944568634033, Label: 0
Pair: (WICKET-5110, WICKET-225), Cosine Score: 0.7741613388061523, Label: 0
Pair: (WICKET-5797, WICKET-2263), Cosine Score: 0.503265380859375, Label: 0
Pair: (WICKET-1784, WICKET-5597), Cosine Score: 0.36091795563697815, Label: 0
Pair: (WICKET-159, WICKET-978), Cosine Score: 0.29996395111083984, Label: 0
Pair: (WICKET-4695, WICKET-3411), Cosine Score: 0.7005179524421692, Label: 0
Pair: (WICKET-1206, WICKET-1750), Cosine Score: 0.8791375756263733, Label: 0
Pair: (WICKET-1859, WICKET-2860), Cosine Score: 0.7255927920341492, Label: 0
Pair: (WICKET-5372, WICKET-3145), Cosine Score: 0.7772089838981628, Label: 0
Pair: (WICKET-5770, WICKET-3088), Cosine Score: 0.7266407012939453, Label: 0
Pair: (WICKET-2461, WICKET-1423), Cosine Score: 0.670017659664154, Label: 0
Pair: (WICKET-1783, WICKET-1905), Cosine Score: 0.37443146109580994, Label: 0
Pair: (WICKET-5206, WICKET-5579), Cosine Score: 0.7640795707702637, Label: 0
Pair: (WICKET-1055, WICKET-2580), Cosine Score: 0.7218220233917236, Label: 0
Pair: (WICKET-5264, WICKET-221), Cosine Score: 0.807431161403656, Label: 0
Pair: (WICKET-4448, WICKET-2784), Cosine Score: 0.6120543479919434, Label: 0
Pair: (WICKET-5744, WICKET-6009), Cosine Score: 0.8159457445144653, Label: 0
Pair: (WICKET-1092, WICKET-633), Cosine Score: 0.6023678183555603, Label: 0
Pair: (WICKET-3858, WICKET-4262), Cosine Score: 0.6055859327316284, Label: 0
Pair: (WICKET-1277, WICKET-905), Cosine Score: 0.8158156275749207, Label: 0
Pair: (WICKET-2099, WICKET-359), Cosine Score: 0.7650546431541443, Label: 0
Pair: (WICKET-1927, WICKET-1193), Cosine Score: 0.6696003675460815, Label: 0
Pair: (WICKET-4604, WICKET-4842), Cosine Score: 0.8540998101234436, Label: 0
Pair: (WICKET-3436, WICKET-5542), Cosine Score: 0.71514493227005, Label: 0
Pair: (WICKET-1344, WICKET-5435), Cosine Score: 0.4975433349609375, Label: 0
Pair: (WICKET-4886, WICKET-2296), Cosine Score: 0.5711266398429871, Label: 0
Pair: (WICKET-5248, WICKET-2223), Cosine Score: 0.7031280398368835, Label: 0
Pair: (WICKET-566, WICKET-6070), Cosine Score: 0.6968259215354919, Label: 0
Pair: (WICKET-6007, WICKET-1808), Cosine Score: 0.3869660794734955, Label: 0
Pair: (WICKET-4154, WICKET-581), Cosine Score: 0.5348786115646362, Label: 0
Pair: (WICKET-4122, WICKET-2354), Cosine Score: 0.7568268775939941, Label: 0
Pair: (WICKET-4108, WICKET-912), Cosine Score: 0.8231394290924072, Label: 0
Pair: (WICKET-2669, WICKET-4133), Cosine Score: 0.5917223691940308, Label: 0
Pair: (WICKET-3538, WICKET-1285), Cosine Score: 0.5828925371170044, Label: 0
Pair: (WICKET-4127, WICKET-3949), Cosine Score: 0.7541741132736206, Label: 0
Pair: (WICKET-3405, WICKET-854), Cosine Score: 0.6272189617156982, Label: 0
Pair: (WICKET-261, WICKET-2109), Cosine Score: 0.674493670463562, Label: 0
Pair: (WICKET-1843, WICKET-6027), Cosine Score: 0.3147384822368622, Label: 0
Pair: (WICKET-2163, WICKET-4838), Cosine Score: 0.5996690392494202, Label: 0
Pair: (WICKET-945, WICKET-5333), Cosine Score: 0.8802242279052734, Label: 0
Pair: (WICKET-4599, WICKET-1125), Cosine Score: 0.4539262652397156, Label: 0
Pair: (WICKET-5712, WICKET-4534), Cosine Score: 0.7411898374557495, Label: 0
Pair: (WICKET-4562, WICKET-4851), Cosine Score: 0.6676077842712402, Label: 0
Pair: (WICKET-4529, WICKET-1508), Cosine Score: 0.7228887677192688, Label: 0
Pair: (WICKET-4126, WICKET-5537), Cosine Score: 0.7957782745361328, Label: 0
Pair: (WICKET-1056, WICKET-4290), Cosine Score: 0.5769847631454468, Label: 0
Pair: (WICKET-4364, WICKET-1954), Cosine Score: 0.5935556292533875, Label: 0
Pair: (WICKET-4544, WICKET-5490), Cosine Score: 0.7771748304367065, Label: 0
Pair: (WICKET-5387, WICKET-330), Cosine Score: 0.5033206343650818, Label: 0
Pair: (WICKET-3394, WICKET-6010), Cosine Score: 0.7464060187339783, Label: 0
Pair: (WICKET-1444, WICKET-4220), Cosine Score: 0.6245783567428589, Label: 0
Pair: (WICKET-2083, WICKET-5510), Cosine Score: 0.4117348790168762, Label: 0
Pair: (WICKET-611, WICKET-2508), Cosine Score: 0.8051339387893677, Label: 0
Pair: (WICKET-3107, WICKET-4027), Cosine Score: 0.5895770192146301, Label: 0
Pair: (WICKET-209, WICKET-5177), Cosine Score: 0.45936158299446106, Label: 0
Pair: (WICKET-4919, WICKET-1545), Cosine Score: 0.6599451899528503, Label: 0
Pair: (WICKET-3319, WICKET-5411), Cosine Score: 0.6550878286361694, Label: 0
Pair: (WICKET-2607, WICKET-312), Cosine Score: 0.45020028948783875, Label: 0
Pair: (WICKET-2512, WICKET-5151), Cosine Score: 0.6213275194168091, Label: 0
Pair: (WICKET-5643, WICKET-2440), Cosine Score: 0.4647051990032196, Label: 0
Pair: (WICKET-3706, WICKET-1521), Cosine Score: 0.4731956720352173, Label: 0
Pair: (WICKET-4377, WICKET-1312), Cosine Score: 0.6616123914718628, Label: 0
Pair: (WICKET-3914, WICKET-3184), Cosine Score: 0.6104961633682251, Label: 0
Pair: (WICKET-831, WICKET-377), Cosine Score: 0.4117913544178009, Label: 0
Pair: (WICKET-3807, WICKET-1954), Cosine Score: 0.36572420597076416, Label: 0
Pair: (WICKET-719, WICKET-1733), Cosine Score: 0.8371760249137878, Label: 0
Pair: (WICKET-1657, WICKET-540), Cosine Score: 0.6050066351890564, Label: 0
Pair: (WICKET-5970, WICKET-3737), Cosine Score: 0.5902788043022156, Label: 0
Pair: (WICKET-2447, WICKET-2611), Cosine Score: 0.7426214218139648, Label: 0
Pair: (WICKET-2232, WICKET-1260), Cosine Score: 0.8172527551651001, Label: 0
Pair: (WICKET-1622, WICKET-4085), Cosine Score: 0.5136160254478455, Label: 0
Pair: (WICKET-2930, WICKET-930), Cosine Score: 0.5376023054122925, Label: 0
Pair: (WICKET-5130, WICKET-1197), Cosine Score: 0.45771780610084534, Label: 0
Pair: (WICKET-1737, WICKET-306), Cosine Score: 0.7217163443565369, Label: 0
Pair: (WICKET-5246, WICKET-3190), Cosine Score: 0.8071248531341553, Label: 0
Pair: (WICKET-274, WICKET-858), Cosine Score: 0.6848201751708984, Label: 0
Pair: (WICKET-361, WICKET-5042), Cosine Score: 0.7232586145401001, Label: 0
Pair: (WICKET-5170, WICKET-2640), Cosine Score: 0.44122666120529175, Label: 0
Pair: (WICKET-5027, WICKET-5637), Cosine Score: 0.5053347945213318, Label: 0
