Pair: (PDFBOX-77, PDFBOX-61), Cosine Score: 0.9405890703201294, Label: 1
Pair: (PDFBOX-1717, PDFBOX-1520), Cosine Score: 0.8995324969291687, Label: 1
Pair: (PDFBOX-1717, PDFBOX-1699), Cosine Score: 0.9255642294883728, Label: 1
Pair: (PDFBOX-1722, PDFBOX-1414), Cosine Score: 0.9348485469818115, Label: 1
Pair: (PDFBOX-1722, PDFBOX-1426), Cosine Score: 0.9185410141944885, Label: 1
Pair: (PDFBOX-1726, PDFBOX-1585), Cosine Score: 0.9197978973388672, Label: 1
Pair: (PDFBOX-1726, PDFBOX-1668), Cosine Score: 0.9433033466339111, Label: 1
Pair: (PDFBOX-1751, PDFBOX-1314), Cosine Score: 0.848290205001831, Label: 1
Pair: (PDFBOX-1751, PDFBOX-1370), Cosine Score: 0.8649260997772217, Label: 1
Pair: (PDFBOX-1761, PDFBOX-1607), Cosine Score: 0.9849447011947632, Label: 1
Pair: (PDFBOX-1780, PDFBOX-1314), Cosine Score: 0.8671919703483582, Label: 1
Pair: (PDFBOX-1780, PDFBOX-1370), Cosine Score: 0.8932549953460693, Label: 1
Pair: (PDFBOX-1780, PDFBOX-1751), Cosine Score: 0.9058845043182373, Label: 1
Pair: (PDFBOX-1785, PDFBOX-212), Cosine Score: 0.8833290934562683, Label: 1
Pair: (PDFBOX-1785, PDFBOX-553), Cosine Score: 0.919643759727478, Label: 1
Pair: (PDFBOX-1785, PDFBOX-922), Cosine Score: 0.922979474067688, Label: 1
Pair: (PDFBOX-1785, PDFBOX-1071), Cosine Score: 0.9491769075393677, Label: 1
Pair: (PDFBOX-1785, PDFBOX-1569), Cosine Score: 0.941956102848053, Label: 1
Pair: (PDFBOX-1785, PDFBOX-1705), Cosine Score: 0.9360785484313965, Label: 1
Pair: (PDFBOX-1793, PDFBOX-1783), Cosine Score: 0.95655357837677, Label: 1
Pair: (PDFBOX-1794, PDFBOX-1107), Cosine Score: 0.934142529964447, Label: 1
Pair: (PDFBOX-1806, PDFBOX-1792), Cosine Score: 0.8577884435653687, Label: 1
Pair: (PDFBOX-1824, PDFBOX-1562), Cosine Score: 0.762914776802063, Label: 1
Pair: (PDFBOX-1824, PDFBOX-1577), Cosine Score: 0.8189730644226074, Label: 1
Pair: (PDFBOX-1824, PDFBOX-1697), Cosine Score: 0.6987907886505127, Label: 1
Pair: (PDFBOX-1824, PDFBOX-1711), Cosine Score: 0.8141313195228577, Label: 1
Pair: (PDFBOX-1841, PDFBOX-1799), Cosine Score: 0.9338387250900269, Label: 1
Pair: (PDFBOX-1857, PDFBOX-1822), Cosine Score: 0.9431731700897217, Label: 1
Pair: (PDFBOX-1899, PDFBOX-1288), Cosine Score: 0.9169484972953796, Label: 1
Pair: (PDFBOX-1922, PDFBOX-1393), Cosine Score: 0.9467364549636841, Label: 1
Pair: (PDFBOX-1935, PDFBOX-1288), Cosine Score: 0.8590168356895447, Label: 1
Pair: (PDFBOX-1935, PDFBOX-1899), Cosine Score: 0.8705347776412964, Label: 1
Pair: (PDFBOX-1947, PDFBOX-1451), Cosine Score: 0.8836944699287415, Label: 1
Pair: (PDFBOX-2000, PDFBOX-490), Cosine Score: 0.8052086234092712, Label: 1
Pair: (PDFBOX-2000, PDFBOX-924), Cosine Score: 0.9289796352386475, Label: 1
Pair: (PDFBOX-2000, PDFBOX-984), Cosine Score: 0.8516534566879272, Label: 1
Pair: (PDFBOX-2000, PDFBOX-1019), Cosine Score: 0.9284483790397644, Label: 1
Pair: (PDFBOX-2000, PDFBOX-1068), Cosine Score: 0.7235963344573975, Label: 1
Pair: (PDFBOX-2000, PDFBOX-1296), Cosine Score: 0.9078748822212219, Label: 1
Pair: (PDFBOX-2000, PDFBOX-1436), Cosine Score: 0.8372335433959961, Label: 1
Pair: (PDFBOX-2000, PDFBOX-1520), Cosine Score: 0.8203575611114502, Label: 1
Pair: (PDFBOX-2000, PDFBOX-1699), Cosine Score: 0.8730716109275818, Label: 1
Pair: (PDFBOX-2000, PDFBOX-1717), Cosine Score: 0.8529886603355408, Label: 1
Pair: (PDFBOX-2004, PDFBOX-1917), Cosine Score: 0.8538875579833984, Label: 1
Pair: (PDFBOX-2006, PDFBOX-62), Cosine Score: 0.7141138911247253, Label: 1
Pair: (PDFBOX-2006, PDFBOX-1192), Cosine Score: 0.6998574137687683, Label: 1
Pair: (PDFBOX-2016, PDFBOX-1634), Cosine Score: 0.8583354949951172, Label: 1
Pair: (PDFBOX-2031, PDFBOX-1998), Cosine Score: 0.8555562496185303, Label: 1
Pair: (PDFBOX-2053, PDFBOX-62), Cosine Score: 0.866533100605011, Label: 1
Pair: (PDFBOX-2053, PDFBOX-1192), Cosine Score: 0.842136800289154, Label: 1
Pair: (PDFBOX-2053, PDFBOX-2006), Cosine Score: 0.659473717212677, Label: 1
Pair: (PDFBOX-2059, PDFBOX-62), Cosine Score: 0.9124338030815125, Label: 1
Pair: (PDFBOX-2059, PDFBOX-1192), Cosine Score: 0.901929497718811, Label: 1
Pair: (PDFBOX-2059, PDFBOX-2006), Cosine Score: 0.7445554733276367, Label: 1
Pair: (PDFBOX-2059, PDFBOX-2053), Cosine Score: 0.8892632126808167, Label: 1
Pair: (PDFBOX-2060, PDFBOX-490), Cosine Score: 0.9241355061531067, Label: 1
Pair: (PDFBOX-2060, PDFBOX-924), Cosine Score: 0.9354564547538757, Label: 1
Pair: (PDFBOX-2060, PDFBOX-984), Cosine Score: 0.9185866117477417, Label: 1
Pair: (PDFBOX-2060, PDFBOX-1019), Cosine Score: 0.9113380312919617, Label: 1
Pair: (PDFBOX-2060, PDFBOX-1068), Cosine Score: 0.8139774203300476, Label: 1
Pair: (PDFBOX-2060, PDFBOX-1296), Cosine Score: 0.9546685814857483, Label: 1
Pair: (PDFBOX-2060, PDFBOX-1436), Cosine Score: 0.9515212178230286, Label: 1
Pair: (PDFBOX-2060, PDFBOX-1520), Cosine Score: 0.9426213502883911, Label: 1
Pair: (PDFBOX-2060, PDFBOX-1699), Cosine Score: 0.8890335559844971, Label: 1
Pair: (PDFBOX-2060, PDFBOX-1717), Cosine Score: 0.8996729254722595, Label: 1
Pair: (PDFBOX-2060, PDFBOX-2000), Cosine Score: 0.8721039295196533, Label: 1
Pair: (PDFBOX-2062, PDFBOX-39), Cosine Score: 0.9231631755828857, Label: 1
Pair: (PDFBOX-2072, PDFBOX-1755), Cosine Score: 0.9413416385650635, Label: 1
Pair: (PDFBOX-2077, PDFBOX-2070), Cosine Score: 0.9550979137420654, Label: 1
Pair: (PDFBOX-2080, PDFBOX-1867), Cosine Score: 0.9255277514457703, Label: 1
Pair: (PDFBOX-2083, PDFBOX-490), Cosine Score: 0.8955293893814087, Label: 1
Pair: (PDFBOX-2083, PDFBOX-924), Cosine Score: 0.8870927691459656, Label: 1
Pair: (PDFBOX-2083, PDFBOX-984), Cosine Score: 0.8954604864120483, Label: 1
Pair: (PDFBOX-2083, PDFBOX-1019), Cosine Score: 0.8349856734275818, Label: 1
Pair: (PDFBOX-2083, PDFBOX-1068), Cosine Score: 0.8465168476104736, Label: 1
Pair: (PDFBOX-2083, PDFBOX-1296), Cosine Score: 0.911153256893158, Label: 1
Pair: (PDFBOX-2083, PDFBOX-1436), Cosine Score: 0.9212955832481384, Label: 1
Pair: (PDFBOX-2083, PDFBOX-1520), Cosine Score: 0.9196397066116333, Label: 1
Pair: (PDFBOX-2083, PDFBOX-1699), Cosine Score: 0.876236617565155, Label: 1
Pair: (PDFBOX-2083, PDFBOX-1717), Cosine Score: 0.8903734683990479, Label: 1
Pair: (PDFBOX-2083, PDFBOX-2000), Cosine Score: 0.7827918529510498, Label: 1
Pair: (PDFBOX-2083, PDFBOX-2060), Cosine Score: 0.8967836499214172, Label: 1
Pair: (PDFBOX-2085, PDFBOX-490), Cosine Score: 0.8652740120887756, Label: 1
Pair: (PDFBOX-2085, PDFBOX-924), Cosine Score: 0.8804680705070496, Label: 1
Pair: (PDFBOX-2085, PDFBOX-984), Cosine Score: 0.8363189101219177, Label: 1
Pair: (PDFBOX-2085, PDFBOX-1019), Cosine Score: 0.8378605246543884, Label: 1
Pair: (PDFBOX-2085, PDFBOX-1068), Cosine Score: 0.7978993058204651, Label: 1
Pair: (PDFBOX-2085, PDFBOX-1296), Cosine Score: 0.8673799633979797, Label: 1
Pair: (PDFBOX-2085, PDFBOX-1436), Cosine Score: 0.8756323456764221, Label: 1
Pair: (PDFBOX-2085, PDFBOX-1520), Cosine Score: 0.8744672536849976, Label: 1
Pair: (PDFBOX-2085, PDFBOX-1699), Cosine Score: 0.8635275363922119, Label: 1
Pair: (PDFBOX-2085, PDFBOX-1717), Cosine Score: 0.8591587543487549, Label: 1
Pair: (PDFBOX-2085, PDFBOX-2000), Cosine Score: 0.8174071311950684, Label: 1
Pair: (PDFBOX-2085, PDFBOX-2060), Cosine Score: 0.8646401762962341, Label: 1
Pair: (PDFBOX-2085, PDFBOX-2083), Cosine Score: 0.8417519330978394, Label: 1
Pair: (PDFBOX-2093, PDFBOX-371), Cosine Score: 0.7932785749435425, Label: 1
Pair: (PDFBOX-2093, PDFBOX-1357), Cosine Score: 0.770958423614502, Label: 1
Pair: (PDFBOX-2093, PDFBOX-1686), Cosine Score: 0.8252835273742676, Label: 1
Pair: (PDFBOX-2093, PDFBOX-1713), Cosine Score: 0.9288511872291565, Label: 1
Pair: (PDFBOX-2101, PDFBOX-626), Cosine Score: 0.8707563281059265, Label: 1
Pair: (PDFBOX-2139, PDFBOX-1740), Cosine Score: 0.8774347901344299, Label: 1
Pair: (PDFBOX-2141, PDFBOX-1936), Cosine Score: 0.9216839075088501, Label: 1
Pair: (PDFBOX-2153, PDFBOX-1451), Cosine Score: 0.9170423746109009, Label: 1
Pair: (PDFBOX-2153, PDFBOX-1947), Cosine Score: 0.9322487115859985, Label: 1
Pair: (PDFBOX-2160, PDFBOX-884), Cosine Score: 0.8123058676719666, Label: 1
Pair: (PDFBOX-2165, PDFBOX-1790), Cosine Score: 0.9636328816413879, Label: 1
Pair: (PDFBOX-2180, PDFBOX-1997), Cosine Score: 0.840923011302948, Label: 1
Pair: (PDFBOX-2182, PDFBOX-1961), Cosine Score: 0.881132185459137, Label: 1
Pair: (PDFBOX-2223, PDFBOX-1295), Cosine Score: 0.9217090010643005, Label: 1
Pair: (PDFBOX-2231, PDFBOX-2230), Cosine Score: 0.9959723949432373, Label: 1
Pair: (PDFBOX-2235, PDFBOX-1288), Cosine Score: 0.939292848110199, Label: 1
Pair: (PDFBOX-2235, PDFBOX-1899), Cosine Score: 0.9475810527801514, Label: 1
Pair: (PDFBOX-2235, PDFBOX-1935), Cosine Score: 0.865566074848175, Label: 1
Pair: (PDFBOX-2248, PDFBOX-2020), Cosine Score: 0.994126558303833, Label: 1
Pair: (PDFBOX-2253, PDFBOX-414), Cosine Score: 0.9462604522705078, Label: 1
Pair: (PDFBOX-2253, PDFBOX-678), Cosine Score: 0.869153618812561, Label: 1
Pair: (PDFBOX-2255, PDFBOX-414), Cosine Score: 0.9665825366973877, Label: 1
Pair: (PDFBOX-2255, PDFBOX-678), Cosine Score: 0.8943694233894348, Label: 1
Pair: (PDFBOX-2255, PDFBOX-2253), Cosine Score: 0.9729100465774536, Label: 1
Pair: (PDFBOX-2263, PDFBOX-1959), Cosine Score: 0.9266109466552734, Label: 1
Pair: (PDFBOX-2263, PDFBOX-2262), Cosine Score: 0.9392293691635132, Label: 1
Pair: (PDFBOX-2272, PDFBOX-800), Cosine Score: 0.9381886720657349, Label: 1
Pair: (PDFBOX-2282, PDFBOX-2277), Cosine Score: 0.924656093120575, Label: 1
Pair: (PDFBOX-2283, PDFBOX-2277), Cosine Score: 0.922483503818512, Label: 1
Pair: (PDFBOX-2283, PDFBOX-2282), Cosine Score: 0.9287392497062683, Label: 1
Pair: (PDFBOX-2331, PDFBOX-2250), Cosine Score: 0.8564394116401672, Label: 1
Pair: (PDFBOX-2346, PDFBOX-2345), Cosine Score: 0.9629099369049072, Label: 1
Pair: (PDFBOX-2348, PDFBOX-2299), Cosine Score: 0.8928194046020508, Label: 1
Pair: (PDFBOX-2349, PDFBOX-2299), Cosine Score: 0.8932361006736755, Label: 1
Pair: (PDFBOX-2349, PDFBOX-2348), Cosine Score: 0.9906612634658813, Label: 1
Pair: (PDFBOX-2353, PDFBOX-2177), Cosine Score: 0.9675145745277405, Label: 1
Pair: (PDFBOX-2418, PDFBOX-2417), Cosine Score: 0.9416280388832092, Label: 1
Pair: (PDFBOX-2483, PDFBOX-1774), Cosine Score: 0.9077351093292236, Label: 1
Pair: (PDFBOX-2493, PDFBOX-2163), Cosine Score: 0.8836121559143066, Label: 1
Pair: (PDFBOX-2507, PDFBOX-2019), Cosine Score: 0.9589303731918335, Label: 1
Pair: (PDFBOX-2510, PDFBOX-2469), Cosine Score: 0.9573816657066345, Label: 1
Pair: (PDFBOX-2514, PDFBOX-1844), Cosine Score: 0.8967431783676147, Label: 1
Pair: (PDFBOX-2519, PDFBOX-539), Cosine Score: 0.962297260761261, Label: 1
Pair: (PDFBOX-2519, PDFBOX-1094), Cosine Score: 0.9263361692428589, Label: 1
Pair: (PDFBOX-2519, PDFBOX-1280), Cosine Score: 0.8964945673942566, Label: 1
Pair: (PDFBOX-2519, PDFBOX-1466), Cosine Score: 0.9438365697860718, Label: 1
Pair: (PDFBOX-2522, PDFBOX-2469), Cosine Score: 0.9753746390342712, Label: 1
Pair: (PDFBOX-2522, PDFBOX-2510), Cosine Score: 0.9458109736442566, Label: 1
Pair: (PDFBOX-2596, PDFBOX-2592), Cosine Score: 0.7925897836685181, Label: 1
Pair: (PDFBOX-2671, PDFBOX-1288), Cosine Score: 0.8260055780410767, Label: 1
Pair: (PDFBOX-2671, PDFBOX-1899), Cosine Score: 0.8421847224235535, Label: 1
Pair: (PDFBOX-2671, PDFBOX-1935), Cosine Score: 0.8015578389167786, Label: 1
Pair: (PDFBOX-2671, PDFBOX-2235), Cosine Score: 0.8409608602523804, Label: 1
Pair: (PDFBOX-2677, PDFBOX-156), Cosine Score: 0.8166132569313049, Label: 1
Pair: (PDFBOX-2677, PDFBOX-996), Cosine Score: 0.90546715259552, Label: 1
Pair: (PDFBOX-2677, PDFBOX-1209), Cosine Score: 0.8548346757888794, Label: 1
Pair: (PDFBOX-2730, PDFBOX-785), Cosine Score: 0.9361905455589294, Label: 1
Pair: (PDFBOX-2732, PDFBOX-2731), Cosine Score: 0.9554241895675659, Label: 1
Pair: (PDFBOX-2814, PDFBOX-2696), Cosine Score: 0.9188178181648254, Label: 1
Pair: (PDFBOX-2818, PDFBOX-490), Cosine Score: 0.9161237478256226, Label: 1
Pair: (PDFBOX-2818, PDFBOX-924), Cosine Score: 0.957554817199707, Label: 1
Pair: (PDFBOX-2818, PDFBOX-984), Cosine Score: 0.9255442023277283, Label: 1
Pair: (PDFBOX-2818, PDFBOX-1019), Cosine Score: 0.9274682998657227, Label: 1
Pair: (PDFBOX-2818, PDFBOX-1068), Cosine Score: 0.8141549229621887, Label: 1
Pair: (PDFBOX-2818, PDFBOX-1296), Cosine Score: 0.9652165770530701, Label: 1
Pair: (PDFBOX-2818, PDFBOX-1436), Cosine Score: 0.9630653858184814, Label: 1
Pair: (PDFBOX-2818, PDFBOX-1520), Cosine Score: 0.9492658376693726, Label: 1
Pair: (PDFBOX-2818, PDFBOX-1699), Cosine Score: 0.9143033623695374, Label: 1
Pair: (PDFBOX-2818, PDFBOX-1717), Cosine Score: 0.9274477958679199, Label: 1
Pair: (PDFBOX-2818, PDFBOX-2000), Cosine Score: 0.8790339231491089, Label: 1
Pair: (PDFBOX-2818, PDFBOX-2060), Cosine Score: 0.9568915963172913, Label: 1
Pair: (PDFBOX-2818, PDFBOX-2083), Cosine Score: 0.9243162870407104, Label: 1
Pair: (PDFBOX-2818, PDFBOX-2085), Cosine Score: 0.8811377286911011, Label: 1
Pair: (PDFBOX-2824, PDFBOX-2439), Cosine Score: 0.8978121280670166, Label: 1
Pair: (PDFBOX-2848, PDFBOX-2661), Cosine Score: 0.9194258451461792, Label: 1
Pair: (PDFBOX-2879, PDFBOX-800), Cosine Score: 0.9569693803787231, Label: 1
Pair: (PDFBOX-2879, PDFBOX-2272), Cosine Score: 0.9444178342819214, Label: 1
