Pair: (GROOVY-20, GROOVY-19), Cosine Score: 0.8566045761108398, Label: 1
Pair: (GROOVY-947, GROOVY-247), Cosine Score: 0.7494066953659058, Label: 1
Pair: (GROOVY-947, GROOVY-362), Cosine Score: 0.8836379051208496, Label: 1
Pair: (GROOVY-947, GROOVY-800), Cosine Score: 0.9046423435211182, Label: 1
Pair: (GROOVY-966, GROOVY-963), Cosine Score: 0.8338838815689087, Label: 1
Pair: (GROOVY-994, GROOVY-638), Cosine Score: 0.9627929925918579, Label: 1
Pair: (GROOVY-994, GROOVY-881), Cosine Score: 0.9889017939567566, Label: 1
Pair: (GROOVY-1092, GROOVY-896), Cosine Score: 0.9448004364967346, Label: 1
Pair: (GROOVY-1564, GROOVY-1210), Cosine Score: 0.7450745701789856, Label: 1
Pair: (GROOVY-1566, GROOVY-1539), Cosine Score: 0.9593547582626343, Label: 1
Pair: (GROOVY-1626, GROOVY-1539), Cosine Score: 0.9698038697242737, Label: 1
Pair: (GROOVY-1626, GROOVY-1566), Cosine Score: 0.9466598629951477, Label: 1
Pair: (GROOVY-1651, GROOVY-1586), Cosine Score: 0.9172722697257996, Label: 1
Pair: (GROOVY-1674, GROOVY-1602), Cosine Score: 0.9819966554641724, Label: 1
Pair: (GROOVY-1833, GROOVY-1787), Cosine Score: 0.9561975598335266, Label: 1
Pair: (GROOVY-1860, GROOVY-1314), Cosine Score: 0.806498646736145, Label: 1
Pair: (GROOVY-1964, GROOVY-1890), Cosine Score: 0.9558749794960022, Label: 1
Pair: (GROOVY-2081, GROOVY-569), Cosine Score: 0.9469509124755859, Label: 1
Pair: (GROOVY-2146, GROOVY-1358), Cosine Score: 0.8648561835289001, Label: 1
Pair: (GROOVY-2211, GROOVY-1659), Cosine Score: 0.9266341924667358, Label: 1
Pair: (GROOVY-2244, GROOVY-1150), Cosine Score: 0.9161346554756165, Label: 1
Pair: (GROOVY-2368, GROOVY-2367), Cosine Score: 0.9071205854415894, Label: 1
Pair: (GROOVY-2535, GROOVY-2208), Cosine Score: 0.950464129447937, Label: 1
Pair: (GROOVY-2559, GROOVY-2380), Cosine Score: 0.9885690212249756, Label: 1
Pair: (GROOVY-2591, GROOVY-2590), Cosine Score: 0.970387876033783, Label: 1
Pair: (GROOVY-2607, GROOVY-2567), Cosine Score: 0.9581591486930847, Label: 1
Pair: (GROOVY-2619, GROOVY-2523), Cosine Score: 0.8561069965362549, Label: 1
Pair: (GROOVY-2673, GROOVY-2672), Cosine Score: 0.9982083439826965, Label: 1
Pair: (GROOVY-2718, GROOVY-636), Cosine Score: 0.9762701988220215, Label: 1
Pair: (GROOVY-2732, GROOVY-2599), Cosine Score: 0.9491614103317261, Label: 1
Pair: (GROOVY-2745, GROOVY-1276), Cosine Score: 0.9522486329078674, Label: 1
Pair: (GROOVY-2752, GROOVY-1416), Cosine Score: 0.9260434508323669, Label: 1
Pair: (GROOVY-2752, GROOVY-1628), Cosine Score: 0.8935738801956177, Label: 1
Pair: (GROOVY-3052, GROOVY-3050), Cosine Score: 0.9157252311706543, Label: 1
Pair: (GROOVY-3076, GROOVY-3049), Cosine Score: 0.8615731596946716, Label: 1
Pair: (GROOVY-3178, GROOVY-2443), Cosine Score: 0.8452776670455933, Label: 1
Pair: (GROOVY-3278, GROOVY-2827), Cosine Score: 0.9632313847541809, Label: 1
Pair: (GROOVY-3289, GROOVY-3117), Cosine Score: 0.9510088562965393, Label: 1
Pair: (GROOVY-3336, GROOVY-3117), Cosine Score: 0.9451891183853149, Label: 1
Pair: (GROOVY-3336, GROOVY-3289), Cosine Score: 0.9905791282653809, Label: 1
Pair: (GROOVY-3368, GROOVY-3339), Cosine Score: 0.8789865970611572, Label: 1
Pair: (GROOVY-3408, GROOVY-2443), Cosine Score: 0.9581184387207031, Label: 1
Pair: (GROOVY-3408, GROOVY-3178), Cosine Score: 0.8596437573432922, Label: 1
Pair: (GROOVY-3447, GROOVY-3250), Cosine Score: 0.9392974972724915, Label: 1
Pair: (GROOVY-3450, GROOVY-3223), Cosine Score: 0.9829897880554199, Label: 1
Pair: (GROOVY-3501, GROOVY-3468), Cosine Score: 0.9723647236824036, Label: 1
Pair: (GROOVY-3542, GROOVY-3468), Cosine Score: 0.9677600264549255, Label: 1
Pair: (GROOVY-3542, GROOVY-3501), Cosine Score: 0.9955064058303833, Label: 1
Pair: (GROOVY-3632, GROOVY-2049), Cosine Score: 0.9057960510253906, Label: 1
Pair: (GROOVY-3632, GROOVY-2500), Cosine Score: 0.9066787958145142, Label: 1
Pair: (GROOVY-3676, GROOVY-3616), Cosine Score: 0.8887681365013123, Label: 1
Pair: (GROOVY-3877, GROOVY-3318), Cosine Score: 0.9642727375030518, Label: 1
Pair: (GROOVY-3981, GROOVY-3973), Cosine Score: 0.9638398885726929, Label: 1
Pair: (GROOVY-4016, GROOVY-4015), Cosine Score: 0.9386162161827087, Label: 1
Pair: (GROOVY-4064, GROOVY-3979), Cosine Score: 0.9395540356636047, Label: 1
Pair: (GROOVY-4083, GROOVY-3142), Cosine Score: 0.8745976090431213, Label: 1
Pair: (GROOVY-4084, GROOVY-3142), Cosine Score: 0.9210574626922607, Label: 1
Pair: (GROOVY-4084, GROOVY-4083), Cosine Score: 0.9151696562767029, Label: 1
Pair: (GROOVY-4122, GROOVY-4015), Cosine Score: 0.9143715500831604, Label: 1
Pair: (GROOVY-4122, GROOVY-4016), Cosine Score: 0.9293200373649597, Label: 1
Pair: (GROOVY-4149, GROOVY-4107), Cosine Score: 0.9582875370979309, Label: 1
Pair: (GROOVY-4149, GROOVY-4128), Cosine Score: 0.9614732265472412, Label: 1
Pair: (GROOVY-4210, GROOVY-3493), Cosine Score: 0.7749596238136292, Label: 1
Pair: (GROOVY-4517, GROOVY-4354), Cosine Score: 0.9667161107063293, Label: 1
Pair: (GROOVY-4568, GROOVY-4485), Cosine Score: 0.8763313293457031, Label: 1
Pair: (GROOVY-4901, GROOVY-4757), Cosine Score: 0.8805503845214844, Label: 1
Pair: (GROOVY-4911, GROOVY-4661), Cosine Score: 0.8432369232177734, Label: 1
Pair: (GROOVY-5215, GROOVY-5214), Cosine Score: 0.8664158582687378, Label: 1
Pair: (GROOVY-5225, GROOVY-4189), Cosine Score: 0.9869791269302368, Label: 1
Pair: (GROOVY-5309, GROOVY-3437), Cosine Score: 0.91383957862854, Label: 1
Pair: (GROOVY-5310, GROOVY-3437), Cosine Score: 0.7935399413108826, Label: 1
Pair: (GROOVY-5310, GROOVY-5309), Cosine Score: 0.779498815536499, Label: 1
Pair: (GROOVY-5311, GROOVY-3437), Cosine Score: 0.8877447843551636, Label: 1
Pair: (GROOVY-5311, GROOVY-5309), Cosine Score: 0.8192335963249207, Label: 1
Pair: (GROOVY-5311, GROOVY-5310), Cosine Score: 0.7453181743621826, Label: 1
Pair: (GROOVY-5312, GROOVY-3437), Cosine Score: 0.8312051296234131, Label: 1
Pair: (GROOVY-5312, GROOVY-5309), Cosine Score: 0.8277994990348816, Label: 1
Pair: (GROOVY-5312, GROOVY-5310), Cosine Score: 0.7617361545562744, Label: 1
Pair: (GROOVY-5312, GROOVY-5311), Cosine Score: 0.8016530275344849, Label: 1
Pair: (GROOVY-5313, GROOVY-3437), Cosine Score: 0.867344081401825, Label: 1
Pair: (GROOVY-5313, GROOVY-5309), Cosine Score: 0.8352202773094177, Label: 1
Pair: (GROOVY-5313, GROOVY-5310), Cosine Score: 0.7325732111930847, Label: 1
Pair: (GROOVY-5313, GROOVY-5311), Cosine Score: 0.8908492922782898, Label: 1
Pair: (GROOVY-5313, GROOVY-5312), Cosine Score: 0.8703014850616455, Label: 1
Pair: (GROOVY-5337, GROOVY-4606), Cosine Score: 0.931837797164917, Label: 1
Pair: (GROOVY-5369, GROOVY-5208), Cosine Score: 0.966988205909729, Label: 1
Pair: (GROOVY-5390, GROOVY-4102), Cosine Score: 0.9330238103866577, Label: 1
Pair: (GROOVY-5607, GROOVY-5573), Cosine Score: 0.9132914543151855, Label: 1
Pair: (GROOVY-5790, GROOVY-3476), Cosine Score: 0.9736341238021851, Label: 1
Pair: (GROOVY-5843, GROOVY-5798), Cosine Score: 0.9757481813430786, Label: 1
Pair: (GROOVY-5993, GROOVY-5992), Cosine Score: 0.804226815700531, Label: 1
Pair: (GROOVY-6083, GROOVY-3332), Cosine Score: 0.9376962184906006, Label: 1
Pair: (GROOVY-6290, GROOVY-6214), Cosine Score: 0.9864194393157959, Label: 1
Pair: (GROOVY-6291, GROOVY-6214), Cosine Score: 0.990789532661438, Label: 1
Pair: (GROOVY-6291, GROOVY-6290), Cosine Score: 0.991111159324646, Label: 1
Pair: (GROOVY-6308, GROOVY-4102), Cosine Score: 0.9172401428222656, Label: 1
Pair: (GROOVY-6308, GROOVY-5390), Cosine Score: 0.9382768273353577, Label: 1
Pair: (GROOVY-6385, GROOVY-5347), Cosine Score: 0.9594482779502869, Label: 1
Pair: (GROOVY-6418, GROOVY-6417), Cosine Score: 0.9973277449607849, Label: 1
Pair: (GROOVY-6439, GROOVY-5345), Cosine Score: 0.8369981050491333, Label: 1
Pair: (GROOVY-6516, GROOVY-6472), Cosine Score: 0.9838890433311462, Label: 1
Pair: (GROOVY-6705, GROOVY-5952), Cosine Score: 0.9532286524772644, Label: 1
Pair: (GROOVY-6829, GROOVY-6815), Cosine Score: 0.9707374572753906, Label: 1
Pair: (GROOVY-6959, GROOVY-6951), Cosine Score: 0.9692716598510742, Label: 1
Pair: (GROOVY-6994, GROOVY-6203), Cosine Score: 0.981780469417572, Label: 1
Pair: (GROOVY-7073, GROOVY-6454), Cosine Score: 0.9564750790596008, Label: 1
Pair: (GROOVY-7080, GROOVY-7079), Cosine Score: 0.9961491823196411, Label: 1
Pair: (GROOVY-7093, GROOVY-6984), Cosine Score: 0.9629238247871399, Label: 1
Pair: (GROOVY-7105, GROOVY-6703), Cosine Score: 0.9512133002281189, Label: 1
Pair: (GROOVY-7132, GROOVY-7028), Cosine Score: 0.8825480341911316, Label: 1
Pair: (GROOVY-7167, GROOVY-7055), Cosine Score: 0.9809439778327942, Label: 1
Pair: (GROOVY-7331, GROOVY-7008), Cosine Score: 0.9513862729072571, Label: 1
Pair: (GROOVY-7389, GROOVY-7388), Cosine Score: 0.9983586072921753, Label: 1
Pair: (GROOVY-7441, GROOVY-7416), Cosine Score: 0.9102827906608582, Label: 1
Pair: (GROOVY-7454, GROOVY-7420), Cosine Score: 0.8260400295257568, Label: 1
Pair: (GROOVY-7483, GROOVY-6922), Cosine Score: 0.9807845950126648, Label: 1
Pair: (GROOVY-7531, GROOVY-7509), Cosine Score: 0.9793413281440735, Label: 1
Pair: (GROOVY-7539, GROOVY-6862), Cosine Score: 0.9485745429992676, Label: 1
Pair: (GROOVY-7597, GROOVY-7376), Cosine Score: 0.8839372396469116, Label: 1
Pair: (GROOVY-3291, GROOVY-1853), Cosine Score: 0.6198112964630127, Label: 0
Pair: (GROOVY-1559, GROOVY-6524), Cosine Score: 0.7425434589385986, Label: 0
Pair: (GROOVY-756, GROOVY-4666), Cosine Score: 0.8868359923362732, Label: 0
Pair: (GROOVY-1329, GROOVY-6550), Cosine Score: 0.4698595702648163, Label: 0
Pair: (GROOVY-462, GROOVY-4226), Cosine Score: 0.8791664242744446, Label: 0
Pair: (GROOVY-3071, GROOVY-3041), Cosine Score: 0.6797495484352112, Label: 0
Pair: (GROOVY-5626, GROOVY-5648), Cosine Score: 0.7171964645385742, Label: 0
Pair: (GROOVY-3793, GROOVY-80), Cosine Score: 0.929634690284729, Label: 0
Pair: (GROOVY-7548, GROOVY-5102), Cosine Score: 0.6785808205604553, Label: 0
Pair: (GROOVY-1335, GROOVY-5394), Cosine Score: 0.8897823691368103, Label: 0
Pair: (GROOVY-6169, GROOVY-6578), Cosine Score: 0.9555900692939758, Label: 0
Pair: (GROOVY-2303, GROOVY-2902), Cosine Score: 0.8384957313537598, Label: 0
Pair: (GROOVY-5203, GROOVY-6378), Cosine Score: 0.6924628615379333, Label: 0
Pair: (GROOVY-5497, GROOVY-6511), Cosine Score: 0.8761583566665649, Label: 0
Pair: (GROOVY-4830, GROOVY-7197), Cosine Score: 0.8866620063781738, Label: 0
Pair: (GROOVY-2702, GROOVY-3312), Cosine Score: 0.933741569519043, Label: 0
Pair: (GROOVY-3887, GROOVY-2121), Cosine Score: 0.7892815470695496, Label: 0
Pair: (GROOVY-3254, GROOVY-3384), Cosine Score: 0.6417790651321411, Label: 0
Pair: (GROOVY-5648, GROOVY-2370), Cosine Score: 0.8271914720535278, Label: 0
Pair: (GROOVY-5024, GROOVY-1536), Cosine Score: 0.8253366947174072, Label: 0
Pair: (GROOVY-4645, GROOVY-108), Cosine Score: 0.7255353927612305, Label: 0
Pair: (GROOVY-2583, GROOVY-3533), Cosine Score: 0.909853458404541, Label: 0
Pair: (GROOVY-2193, GROOVY-78), Cosine Score: 0.7989560961723328, Label: 0
Pair: (GROOVY-2262, GROOVY-1001), Cosine Score: 0.9411545991897583, Label: 0
Pair: (GROOVY-4482, GROOVY-953), Cosine Score: 0.6798376441001892, Label: 0
Pair: (GROOVY-4640, GROOVY-6302), Cosine Score: 0.9666746258735657, Label: 0
Pair: (GROOVY-1486, GROOVY-7367), Cosine Score: 0.9453439116477966, Label: 0
Pair: (GROOVY-4498, GROOVY-1669), Cosine Score: 0.6875397562980652, Label: 0
Pair: (GROOVY-3702, GROOVY-7691), Cosine Score: 0.8381728529930115, Label: 0
Pair: (GROOVY-110, GROOVY-728), Cosine Score: 0.9460201859474182, Label: 0
Pair: (GROOVY-2497, GROOVY-4422), Cosine Score: 0.9200134873390198, Label: 0
Pair: (GROOVY-93, GROOVY-3043), Cosine Score: 0.7554984092712402, Label: 0
Pair: (GROOVY-4739, GROOVY-1412), Cosine Score: 0.8459119200706482, Label: 0
Pair: (GROOVY-2838, GROOVY-7539), Cosine Score: 0.815778911113739, Label: 0
Pair: (GROOVY-7373, GROOVY-6945), Cosine Score: 0.7171915769577026, Label: 0
Pair: (GROOVY-1754, GROOVY-6551), Cosine Score: 0.8625898957252502, Label: 0
Pair: (GROOVY-872, GROOVY-5663), Cosine Score: 0.9381833076477051, Label: 0
Pair: (GROOVY-6314, GROOVY-6450), Cosine Score: 0.798608124256134, Label: 0
Pair: (GROOVY-5319, GROOVY-7539), Cosine Score: 0.8464270830154419, Label: 0
Pair: (GROOVY-4782, GROOVY-3532), Cosine Score: 0.8799505829811096, Label: 0
Pair: (GROOVY-2247, GROOVY-2760), Cosine Score: 0.9282624125480652, Label: 0
Pair: (GROOVY-5705, GROOVY-500), Cosine Score: 0.9589206576347351, Label: 0
Pair: (GROOVY-4457, GROOVY-2115), Cosine Score: 0.8462982177734375, Label: 0
Pair: (GROOVY-2893, GROOVY-3348), Cosine Score: 0.87984699010849, Label: 0
Pair: (GROOVY-3589, GROOVY-4115), Cosine Score: 0.7265977263450623, Label: 0
Pair: (GROOVY-2607, GROOVY-3737), Cosine Score: 0.918150782585144, Label: 0
Pair: (GROOVY-5592, GROOVY-548), Cosine Score: 0.7726984620094299, Label: 0
Pair: (GROOVY-3306, GROOVY-1718), Cosine Score: 0.8185235261917114, Label: 0
Pair: (GROOVY-1857, GROOVY-3774), Cosine Score: 0.812103807926178, Label: 0
Pair: (GROOVY-3372, GROOVY-2949), Cosine Score: 0.8943203687667847, Label: 0
Pair: (GROOVY-159, GROOVY-5174), Cosine Score: 0.6881750822067261, Label: 0
Pair: (GROOVY-6262, GROOVY-1258), Cosine Score: 0.6255699396133423, Label: 0
Pair: (GROOVY-7378, GROOVY-99), Cosine Score: 0.6085770130157471, Label: 0
Pair: (GROOVY-2056, GROOVY-1557), Cosine Score: 0.6987566351890564, Label: 0
Pair: (GROOVY-5204, GROOVY-6157), Cosine Score: 0.8466893434524536, Label: 0
Pair: (GROOVY-2091, GROOVY-364), Cosine Score: 0.904001772403717, Label: 0
Pair: (GROOVY-2421, GROOVY-1467), Cosine Score: 0.5540854930877686, Label: 0
Pair: (GROOVY-1127, GROOVY-5976), Cosine Score: 0.788676917552948, Label: 0
Pair: (GROOVY-5712, GROOVY-2763), Cosine Score: 0.8905060291290283, Label: 0
Pair: (GROOVY-7073, GROOVY-1563), Cosine Score: 0.7337526679039001, Label: 0
Pair: (GROOVY-4697, GROOVY-36), Cosine Score: 0.8924674987792969, Label: 0
Pair: (GROOVY-5808, GROOVY-5258), Cosine Score: 0.8974732756614685, Label: 0
Pair: (GROOVY-5993, GROOVY-7124), Cosine Score: 0.8982303738594055, Label: 0
Pair: (GROOVY-6959, GROOVY-5887), Cosine Score: 0.8778033256530762, Label: 0
Pair: (GROOVY-3309, GROOVY-1515), Cosine Score: 0.6613045334815979, Label: 0
Pair: (GROOVY-4, GROOVY-5689), Cosine Score: 0.7890469431877136, Label: 0
Pair: (GROOVY-4709, GROOVY-4060), Cosine Score: 0.867333710193634, Label: 0
Pair: (GROOVY-3174, GROOVY-7102), Cosine Score: 0.8736408948898315, Label: 0
Pair: (GROOVY-187, GROOVY-6396), Cosine Score: 0.7149716019630432, Label: 0
Pair: (GROOVY-3982, GROOVY-7282), Cosine Score: 0.8740007281303406, Label: 0
Pair: (GROOVY-6357, GROOVY-7018), Cosine Score: 0.9190359115600586, Label: 0
Pair: (GROOVY-1371, GROOVY-2289), Cosine Score: 0.8368008136749268, Label: 0
Pair: (GROOVY-4034, GROOVY-3950), Cosine Score: 0.8114491701126099, Label: 0
Pair: (GROOVY-3651, GROOVY-1265), Cosine Score: 0.9346683621406555, Label: 0
Pair: (GROOVY-5304, GROOVY-45), Cosine Score: 0.9028016924858093, Label: 0
Pair: (GROOVY-6264, GROOVY-6767), Cosine Score: 0.8905823826789856, Label: 0
Pair: (GROOVY-7141, GROOVY-2483), Cosine Score: 0.9256947040557861, Label: 0
Pair: (GROOVY-5574, GROOVY-945), Cosine Score: 0.8670341372489929, Label: 0
Pair: (GROOVY-772, GROOVY-7380), Cosine Score: 0.7516725659370422, Label: 0
Pair: (GROOVY-6757, GROOVY-7345), Cosine Score: 0.9166342616081238, Label: 0
Pair: (GROOVY-2663, GROOVY-2341), Cosine Score: 0.8878859877586365, Label: 0
Pair: (GROOVY-4003, GROOVY-6997), Cosine Score: 0.9313709139823914, Label: 0
Pair: (GROOVY-1423, GROOVY-7328), Cosine Score: 0.8978029489517212, Label: 0
Pair: (GROOVY-6558, GROOVY-1271), Cosine Score: 0.9243937730789185, Label: 0
Pair: (GROOVY-3033, GROOVY-7138), Cosine Score: 0.8947263360023499, Label: 0
Pair: (GROOVY-5223, GROOVY-7549), Cosine Score: 0.6835244297981262, Label: 0
Pair: (GROOVY-659, GROOVY-6212), Cosine Score: 0.8996038436889648, Label: 0
Pair: (GROOVY-2258, GROOVY-7680), Cosine Score: 0.920287013053894, Label: 0
Pair: (GROOVY-6729, GROOVY-980), Cosine Score: 0.8441410660743713, Label: 0
Pair: (GROOVY-2669, GROOVY-1597), Cosine Score: 0.7594253420829773, Label: 0
Pair: (GROOVY-290, GROOVY-2353), Cosine Score: 0.9254846572875977, Label: 0
Pair: (GROOVY-7109, GROOVY-6673), Cosine Score: 0.813961923122406, Label: 0
Pair: (GROOVY-5389, GROOVY-2866), Cosine Score: 0.881869912147522, Label: 0
Pair: (GROOVY-3076, GROOVY-1197), Cosine Score: 0.8782135248184204, Label: 0
Pair: (GROOVY-6108, GROOVY-3472), Cosine Score: 0.7706587910652161, Label: 0
Pair: (GROOVY-6924, GROOVY-448), Cosine Score: 0.903927743434906, Label: 0
Pair: (GROOVY-4946, GROOVY-7613), Cosine Score: 0.9264394044876099, Label: 0
Pair: (GROOVY-4662, GROOVY-6429), Cosine Score: 0.9340409636497498, Label: 0
Pair: (GROOVY-2391, GROOVY-4185), Cosine Score: 0.9184904098510742, Label: 0
Pair: (GROOVY-2232, GROOVY-739), Cosine Score: 0.9411367774009705, Label: 0
Pair: (GROOVY-4499, GROOVY-7048), Cosine Score: 0.8409191370010376, Label: 0
Pair: (GROOVY-90, GROOVY-7667), Cosine Score: 0.8519473075866699, Label: 0
Pair: (GROOVY-2366, GROOVY-6889), Cosine Score: 0.7861667275428772, Label: 0
Pair: (GROOVY-6816, GROOVY-3191), Cosine Score: 0.9580796360969543, Label: 0
Pair: (GROOVY-6246, GROOVY-7416), Cosine Score: 0.9239086508750916, Label: 0
Pair: (GROOVY-6311, GROOVY-3970), Cosine Score: 0.8525388240814209, Label: 0
Pair: (GROOVY-3546, GROOVY-2085), Cosine Score: 0.6778028011322021, Label: 0
Pair: (GROOVY-3476, GROOVY-6891), Cosine Score: 0.9072663187980652, Label: 0
Pair: (GROOVY-5415, GROOVY-4502), Cosine Score: 0.8718892931938171, Label: 0
Pair: (GROOVY-6976, GROOVY-7238), Cosine Score: 0.7414255738258362, Label: 0
Pair: (GROOVY-944, GROOVY-7637), Cosine Score: 0.8926727175712585, Label: 0
Pair: (GROOVY-2018, GROOVY-1976), Cosine Score: 0.7261372208595276, Label: 0
Pair: (GROOVY-6722, GROOVY-1451), Cosine Score: 0.8768332600593567, Label: 0
Pair: (GROOVY-5149, GROOVY-2154), Cosine Score: 0.8691707253456116, Label: 0
Pair: (GROOVY-5678, GROOVY-93), Cosine Score: 0.6332218050956726, Label: 0
Pair: (GROOVY-3798, GROOVY-2623), Cosine Score: 0.8863751888275146, Label: 0
Pair: (GROOVY-2560, GROOVY-6326), Cosine Score: 0.7328805327415466, Label: 0
Pair: (GROOVY-1414, GROOVY-3342), Cosine Score: 0.8811403512954712, Label: 0
Pair: (GROOVY-4806, GROOVY-3818), Cosine Score: 0.940115749835968, Label: 0
Pair: (GROOVY-5603, GROOVY-1075), Cosine Score: 0.7006670832633972, Label: 0
Pair: (GROOVY-6268, GROOVY-6980), Cosine Score: 0.9481145143508911, Label: 0
Pair: (GROOVY-5447, GROOVY-4250), Cosine Score: 0.9008849859237671, Label: 0
Pair: (GROOVY-6255, GROOVY-4736), Cosine Score: 0.8696374893188477, Label: 0
Pair: (GROOVY-330, GROOVY-7334), Cosine Score: 0.8388534784317017, Label: 0
Pair: (GROOVY-6279, GROOVY-3008), Cosine Score: 0.6842445135116577, Label: 0
Pair: (GROOVY-5914, GROOVY-168), Cosine Score: 0.5845988988876343, Label: 0
Pair: (GROOVY-6308, GROOVY-2573), Cosine Score: 0.8673118948936462, Label: 0
Pair: (GROOVY-6998, GROOVY-5056), Cosine Score: 0.8132401704788208, Label: 0
Pair: (GROOVY-5520, GROOVY-2048), Cosine Score: 0.8381553292274475, Label: 0
Pair: (GROOVY-7594, GROOVY-2495), Cosine Score: 0.8042872548103333, Label: 0
Pair: (GROOVY-1515, GROOVY-3113), Cosine Score: 0.7300736904144287, Label: 0
Pair: (GROOVY-1541, GROOVY-5190), Cosine Score: 0.8946261405944824, Label: 0
Pair: (GROOVY-2153, GROOVY-4075), Cosine Score: 0.9425595998764038, Label: 0
Pair: (GROOVY-5666, GROOVY-928), Cosine Score: 0.8655054569244385, Label: 0
Pair: (GROOVY-2833, GROOVY-1545), Cosine Score: 0.8829163908958435, Label: 0
Pair: (GROOVY-691, GROOVY-1522), Cosine Score: 0.9274405837059021, Label: 0
Pair: (GROOVY-107, GROOVY-7308), Cosine Score: 0.9507272243499756, Label: 0
Pair: (GROOVY-2341, GROOVY-7092), Cosine Score: 0.9618289470672607, Label: 0
Pair: (GROOVY-3604, GROOVY-3454), Cosine Score: 0.8054147958755493, Label: 0
Pair: (GROOVY-313, GROOVY-2630), Cosine Score: 0.8103624582290649, Label: 0
Pair: (GROOVY-5442, GROOVY-7357), Cosine Score: 0.7294213771820068, Label: 0
Pair: (GROOVY-4214, GROOVY-7080), Cosine Score: 0.9750748872756958, Label: 0
Pair: (GROOVY-2006, GROOVY-925), Cosine Score: 0.6783410906791687, Label: 0
Pair: (GROOVY-2790, GROOVY-7336), Cosine Score: 0.9569816589355469, Label: 0
Pair: (GROOVY-1055, GROOVY-266), Cosine Score: 0.8986502885818481, Label: 0
