Pair: (MYFACES-149, MYFACES-130), Cosine Score: 0.9810473918914795, Label: 1
Pair: (MYFACES-1761, MYFACES-1246), Cosine Score: 0.9016854166984558, Label: 1
Pair: (MYFACES-1782, MYFACES-1743), Cosine Score: 0.8622350096702576, Label: 1
Pair: (MYFACES-1794, MYFACES-1793), Cosine Score: 1, Label: 1
Pair: (MYFACES-1808, MYFACES-1692), Cosine Score: 0.8986997604370117, Label: 1
Pair: (MYFACES-1832, MYFACES-1342), Cosine Score: 0.85645592212677, Label: 1
Pair: (MYFACES-1834, MYFACES-1097), Cosine Score: 0.8008710145950317, Label: 1
Pair: (MYFACES-1847, MYFACES-1791), Cosine Score: 0.6239650845527649, Label: 1
Pair: (MYFACES-1858, MYFACES-1854), Cosine Score: 0.6763708591461182, Label: 1
Pair: (MYFACES-1891, MYFACES-1567), Cosine Score: 0.8972675800323486, Label: 1
Pair: (MYFACES-1904, MYFACES-1760), Cosine Score: 0.7444251775741577, Label: 1
Pair: (MYFACES-1905, MYFACES-1097), Cosine Score: 0.7751409411430359, Label: 1
Pair: (MYFACES-1905, MYFACES-1834), Cosine Score: 0.7488683462142944, Label: 1
Pair: (MYFACES-1965, MYFACES-1964), Cosine Score: 0.9092573523521423, Label: 1
Pair: (MYFACES-2084, MYFACES-1854), Cosine Score: 0.7323503494262695, Label: 1
Pair: (MYFACES-2084, MYFACES-1858), Cosine Score: 0.7279229760169983, Label: 1
Pair: (MYFACES-2127, MYFACES-1097), Cosine Score: 0.8883065581321716, Label: 1
Pair: (MYFACES-2127, MYFACES-1834), Cosine Score: 0.8976060152053833, Label: 1
Pair: (MYFACES-2127, MYFACES-1905), Cosine Score: 0.7546145915985107, Label: 1
Pair: (MYFACES-2152, MYFACES-1567), Cosine Score: 0.9246812462806702, Label: 1
Pair: (MYFACES-2152, MYFACES-1891), Cosine Score: 0.913158118724823, Label: 1
Pair: (MYFACES-2175, MYFACES-1097), Cosine Score: 0.80677330493927, Label: 1
Pair: (MYFACES-2175, MYFACES-1834), Cosine Score: 0.7561112642288208, Label: 1
Pair: (MYFACES-2175, MYFACES-1905), Cosine Score: 0.6710508465766907, Label: 1
Pair: (MYFACES-2175, MYFACES-2127), Cosine Score: 0.863146960735321, Label: 1
Pair: (MYFACES-2186, MYFACES-1097), Cosine Score: 0.8209930658340454, Label: 1
Pair: (MYFACES-2186, MYFACES-1834), Cosine Score: 0.8881665468215942, Label: 1
Pair: (MYFACES-2186, MYFACES-1905), Cosine Score: 0.7584487199783325, Label: 1
Pair: (MYFACES-2186, MYFACES-2127), Cosine Score: 0.9316369891166687, Label: 1
Pair: (MYFACES-2186, MYFACES-2175), Cosine Score: 0.8204556107521057, Label: 1
Pair: (MYFACES-2252, MYFACES-1097), Cosine Score: 0.8408308625221252, Label: 1
Pair: (MYFACES-2252, MYFACES-1834), Cosine Score: 0.8689314126968384, Label: 1
Pair: (MYFACES-2252, MYFACES-1905), Cosine Score: 0.7390623688697815, Label: 1
Pair: (MYFACES-2252, MYFACES-2127), Cosine Score: 0.9258233904838562, Label: 1
Pair: (MYFACES-2252, MYFACES-2175), Cosine Score: 0.8177276253700256, Label: 1
Pair: (MYFACES-2252, MYFACES-2186), Cosine Score: 0.9202166795730591, Label: 1
Pair: (MYFACES-2478, MYFACES-1838), Cosine Score: 0.9612114429473877, Label: 1
Pair: (MYFACES-2539, MYFACES-2521), Cosine Score: 0.9005102515220642, Label: 1
Pair: (MYFACES-2543, MYFACES-2521), Cosine Score: 0.8970522284507751, Label: 1
Pair: (MYFACES-2543, MYFACES-2539), Cosine Score: 0.9096752405166626, Label: 1
Pair: (MYFACES-2564, MYFACES-2521), Cosine Score: 0.8297936320304871, Label: 1
Pair: (MYFACES-2564, MYFACES-2539), Cosine Score: 0.7848000526428223, Label: 1
Pair: (MYFACES-2564, MYFACES-2543), Cosine Score: 0.8416697382926941, Label: 1
Pair: (MYFACES-2609, MYFACES-2608), Cosine Score: 0.9658000469207764, Label: 1
Pair: (MYFACES-2727, MYFACES-2470), Cosine Score: 0.7066524624824524, Label: 1
Pair: (MYFACES-2801, MYFACES-1963), Cosine Score: 0.8321834802627563, Label: 1
Pair: (MYFACES-2931, MYFACES-2925), Cosine Score: 0.8944762349128723, Label: 1
Pair: (MYFACES-2970, MYFACES-641), Cosine Score: 0.8933422565460205, Label: 1
Pair: (MYFACES-2970, MYFACES-1901), Cosine Score: 0.7086247801780701, Label: 1
Pair: (MYFACES-3112, MYFACES-2946), Cosine Score: 0.8475065231323242, Label: 1
Pair: (MYFACES-3117, MYFACES-1791), Cosine Score: 0.7007848620414734, Label: 1
Pair: (MYFACES-3117, MYFACES-1847), Cosine Score: 0.8570720553398132, Label: 1
Pair: (MYFACES-3165, MYFACES-3133), Cosine Score: 0.796833872795105, Label: 1
Pair: (MYFACES-3181, MYFACES-2497), Cosine Score: 0.8776041269302368, Label: 1
Pair: (MYFACES-3183, MYFACES-3034), Cosine Score: 0.8732776045799255, Label: 1
Pair: (MYFACES-3239, MYFACES-3146), Cosine Score: 0.8508318066596985, Label: 1
Pair: (MYFACES-3244, MYFACES-3174), Cosine Score: 0.9398744106292725, Label: 1
Pair: (MYFACES-3293, MYFACES-3146), Cosine Score: 0.8708126544952393, Label: 1
Pair: (MYFACES-3293, MYFACES-3239), Cosine Score: 0.7864158749580383, Label: 1
Pair: (MYFACES-3302, MYFACES-2979), Cosine Score: 0.7206627130508423, Label: 1
Pair: (MYFACES-3302, MYFACES-3187), Cosine Score: 0.6873093843460083, Label: 1
Pair: (MYFACES-3311, MYFACES-2552), Cosine Score: 0.7966287136077881, Label: 1
Pair: (MYFACES-3316, MYFACES-2552), Cosine Score: 0.8318883180618286, Label: 1
Pair: (MYFACES-3316, MYFACES-3311), Cosine Score: 0.8208617568016052, Label: 1
Pair: (MYFACES-3518, MYFACES-1528), Cosine Score: 0.8671022653579712, Label: 1
Pair: (MYFACES-3525, MYFACES-2497), Cosine Score: 0.8684119582176208, Label: 1
Pair: (MYFACES-3525, MYFACES-3181), Cosine Score: 0.8585891127586365, Label: 1
Pair: (MYFACES-3529, MYFACES-3454), Cosine Score: 0.6611392498016357, Label: 1
Pair: (MYFACES-3615, MYFACES-3585), Cosine Score: 0.8100336790084839, Label: 1
Pair: (MYFACES-3667, MYFACES-2497), Cosine Score: 0.8797845840454102, Label: 1
Pair: (MYFACES-3667, MYFACES-3181), Cosine Score: 0.8530966639518738, Label: 1
Pair: (MYFACES-3667, MYFACES-3525), Cosine Score: 0.8685864806175232, Label: 1
Pair: (MYFACES-3669, MYFACES-3638), Cosine Score: 0.980733335018158, Label: 1
Pair: (MYFACES-3752, MYFACES-3606), Cosine Score: 0.8857401609420776, Label: 1
Pair: (MYFACES-3927, MYFACES-3923), Cosine Score: 0.9225342869758606, Label: 1
Pair: (MYFACES-3950, MYFACES-3948), Cosine Score: 0.9484888315200806, Label: 1
Pair: (MYFACES-3952, MYFACES-3948), Cosine Score: 0.919746994972229, Label: 1
Pair: (MYFACES-3952, MYFACES-3950), Cosine Score: 0.9049813151359558, Label: 1
Pair: (MYFACES-3953, MYFACES-3948), Cosine Score: 0.9027661681175232, Label: 1
Pair: (MYFACES-3953, MYFACES-3950), Cosine Score: 0.8947983980178833, Label: 1
Pair: (MYFACES-3953, MYFACES-3952), Cosine Score: 0.9464529156684875, Label: 1
Pair: (MYFACES-3958, MYFACES-3948), Cosine Score: 0.9378545880317688, Label: 1
Pair: (MYFACES-3958, MYFACES-3950), Cosine Score: 0.9186071157455444, Label: 1
Pair: (MYFACES-3958, MYFACES-3952), Cosine Score: 0.9061955809593201, Label: 1
Pair: (MYFACES-3958, MYFACES-3953), Cosine Score: 0.8930485248565674, Label: 1
Pair: (MYFACES-3968, MYFACES-3948), Cosine Score: 0.9212281703948975, Label: 1
Pair: (MYFACES-3968, MYFACES-3950), Cosine Score: 0.9155043363571167, Label: 1
Pair: (MYFACES-3968, MYFACES-3952), Cosine Score: 0.9769403338432312, Label: 1
Pair: (MYFACES-3968, MYFACES-3953), Cosine Score: 0.927478015422821, Label: 1
Pair: (MYFACES-3968, MYFACES-3958), Cosine Score: 0.9316895008087158, Label: 1
Pair: (MYFACES-3972, MYFACES-3233), Cosine Score: 0.9090327024459839, Label: 1
Pair: (MYFACES-3993, MYFACES-3992), Cosine Score: 0.9463323950767517, Label: 1
Pair: (MYFACES-4019, MYFACES-3980), Cosine Score: 0.6911224722862244, Label: 1
Pair: (MYFACES-1186, MYFACES-2788), Cosine Score: 0.7057637572288513, Label: 0
Pair: (MYFACES-3736, MYFACES-2756), Cosine Score: 0.7311154007911682, Label: 0
Pair: (MYFACES-3296, MYFACES-2139), Cosine Score: 0.7883949875831604, Label: 0
Pair: (MYFACES-2081, MYFACES-3044), Cosine Score: 0.6965757012367249, Label: 0
Pair: (MYFACES-344, MYFACES-3597), Cosine Score: 0.649590790271759, Label: 0
Pair: (MYFACES-364, MYFACES-2648), Cosine Score: 0.7083411812782288, Label: 0
Pair: (MYFACES-357, MYFACES-1637), Cosine Score: 0.7778451442718506, Label: 0
Pair: (MYFACES-2732, MYFACES-3026), Cosine Score: 0.5846524238586426, Label: 0
Pair: (MYFACES-1851, MYFACES-3261), Cosine Score: 0.4423409104347229, Label: 0
Pair: (MYFACES-2941, MYFACES-3538), Cosine Score: 0.7703075408935547, Label: 0
Pair: (MYFACES-3970, MYFACES-2593), Cosine Score: 0.7771163582801819, Label: 0
Pair: (MYFACES-2260, MYFACES-4012), Cosine Score: 0.7659333348274231, Label: 0
Pair: (MYFACES-3685, MYFACES-435), Cosine Score: 0.7279306054115295, Label: 0
Pair: (MYFACES-267, MYFACES-1517), Cosine Score: 0.711548924446106, Label: 0
Pair: (MYFACES-2886, MYFACES-1385), Cosine Score: 0.30954331159591675, Label: 0
Pair: (MYFACES-3843, MYFACES-2652), Cosine Score: 0.5749420523643494, Label: 0
Pair: (MYFACES-2090, MYFACES-3566), Cosine Score: 0.4272286295890808, Label: 0
Pair: (MYFACES-2495, MYFACES-3937), Cosine Score: 0.8069207072257996, Label: 0
Pair: (MYFACES-2066, MYFACES-1010), Cosine Score: 0.5768607258796692, Label: 0
Pair: (MYFACES-3642, MYFACES-1551), Cosine Score: 0.6152481436729431, Label: 0
Pair: (MYFACES-2124, MYFACES-3589), Cosine Score: 0.5718855857849121, Label: 0
Pair: (MYFACES-2210, MYFACES-2711), Cosine Score: 0.5105609893798828, Label: 0
Pair: (MYFACES-3970, MYFACES-3074), Cosine Score: 0.764038622379303, Label: 0
Pair: (MYFACES-3620, MYFACES-3348), Cosine Score: 0.5876998901367188, Label: 0
Pair: (MYFACES-2232, MYFACES-3139), Cosine Score: 0.5601520538330078, Label: 0
Pair: (MYFACES-3988, MYFACES-182), Cosine Score: 0.8550137281417847, Label: 0
Pair: (MYFACES-507, MYFACES-2284), Cosine Score: 0.47063374519348145, Label: 0
Pair: (MYFACES-3375, MYFACES-3040), Cosine Score: 0.7158946394920349, Label: 0
Pair: (MYFACES-1221, MYFACES-2820), Cosine Score: 0.5410547256469727, Label: 0
Pair: (MYFACES-999, MYFACES-3580), Cosine Score: 0.5925176739692688, Label: 0
Pair: (MYFACES-179, MYFACES-177), Cosine Score: 0.8091240525245667, Label: 0
Pair: (MYFACES-2322, MYFACES-2407), Cosine Score: 0.571157693862915, Label: 0
Pair: (MYFACES-2765, MYFACES-601), Cosine Score: 0.6452961564064026, Label: 0
Pair: (MYFACES-98, MYFACES-3659), Cosine Score: 0.47516095638275146, Label: 0
Pair: (MYFACES-40, MYFACES-3439), Cosine Score: 0.6684706211090088, Label: 0
Pair: (MYFACES-3974, MYFACES-1782), Cosine Score: 0.6857225894927979, Label: 0
Pair: (MYFACES-1835, MYFACES-416), Cosine Score: 0.5495879054069519, Label: 0
Pair: (MYFACES-2800, MYFACES-1856), Cosine Score: 0.6677020192146301, Label: 0
Pair: (MYFACES-2160, MYFACES-1599), Cosine Score: 0.7965433597564697, Label: 0
Pair: (MYFACES-1837, MYFACES-2757), Cosine Score: 0.728121817111969, Label: 0
Pair: (MYFACES-1097, MYFACES-2902), Cosine Score: 0.6086907386779785, Label: 0
Pair: (MYFACES-2640, MYFACES-2917), Cosine Score: 0.6611223220825195, Label: 0
Pair: (MYFACES-1933, MYFACES-63), Cosine Score: 0.6569093465805054, Label: 0
Pair: (MYFACES-2791, MYFACES-1821), Cosine Score: 0.7249197959899902, Label: 0
Pair: (MYFACES-1255, MYFACES-2812), Cosine Score: 0.734848141670227, Label: 0
Pair: (MYFACES-2808, MYFACES-2994), Cosine Score: 0.5338613986968994, Label: 0
Pair: (MYFACES-190, MYFACES-3671), Cosine Score: 0.5793863534927368, Label: 0
Pair: (MYFACES-1372, MYFACES-3138), Cosine Score: 0.5610585808753967, Label: 0
Pair: (MYFACES-3814, MYFACES-376), Cosine Score: 0.6654552817344666, Label: 0
Pair: (MYFACES-1856, MYFACES-2440), Cosine Score: 0.5554638504981995, Label: 0
Pair: (MYFACES-2777, MYFACES-499), Cosine Score: 0.6572005748748779, Label: 0
Pair: (MYFACES-1250, MYFACES-2285), Cosine Score: 0.6233276724815369, Label: 0
Pair: (MYFACES-1455, MYFACES-624), Cosine Score: 0.6223542094230652, Label: 0
Pair: (MYFACES-79, MYFACES-2806), Cosine Score: 0.7119541168212891, Label: 0
Pair: (MYFACES-157, MYFACES-3375), Cosine Score: 0.6869677305221558, Label: 0
Pair: (MYFACES-3542, MYFACES-3166), Cosine Score: 0.6004852652549744, Label: 0
Pair: (MYFACES-2975, MYFACES-2164), Cosine Score: 0.5617779493331909, Label: 0
Pair: (MYFACES-4010, MYFACES-1240), Cosine Score: 0.8624483346939087, Label: 0
Pair: (MYFACES-2381, MYFACES-3380), Cosine Score: 0.7275701761245728, Label: 0
Pair: (MYFACES-3442, MYFACES-809), Cosine Score: 0.6457850933074951, Label: 0
Pair: (MYFACES-1304, MYFACES-2430), Cosine Score: 0.6535243391990662, Label: 0
Pair: (MYFACES-188, MYFACES-231), Cosine Score: 0.740240216255188, Label: 0
Pair: (MYFACES-2769, MYFACES-127), Cosine Score: 0.5646048188209534, Label: 0
Pair: (MYFACES-1197, MYFACES-2227), Cosine Score: 0.6684859991073608, Label: 0
Pair: (MYFACES-2926, MYFACES-1699), Cosine Score: 0.4421890079975128, Label: 0
Pair: (MYFACES-402, MYFACES-1563), Cosine Score: 0.6232722401618958, Label: 0
Pair: (MYFACES-628, MYFACES-1744), Cosine Score: 0.48016536235809326, Label: 0
Pair: (MYFACES-601, MYFACES-3717), Cosine Score: 0.5012430548667908, Label: 0
Pair: (MYFACES-1034, MYFACES-2671), Cosine Score: 0.8023815155029297, Label: 0
Pair: (MYFACES-3899, MYFACES-135), Cosine Score: 0.7219685912132263, Label: 0
Pair: (MYFACES-3204, MYFACES-2592), Cosine Score: 0.5480684041976929, Label: 0
Pair: (MYFACES-2979, MYFACES-836), Cosine Score: 0.7760752439498901, Label: 0
Pair: (MYFACES-2072, MYFACES-3519), Cosine Score: 0.7115440368652344, Label: 0
Pair: (MYFACES-2409, MYFACES-2540), Cosine Score: 0.6495829224586487, Label: 0
Pair: (MYFACES-3381, MYFACES-659), Cosine Score: 0.5776747465133667, Label: 0
Pair: (MYFACES-1843, MYFACES-2803), Cosine Score: 0.46972474455833435, Label: 0
Pair: (MYFACES-63, MYFACES-2324), Cosine Score: 0.7313609719276428, Label: 0
Pair: (MYFACES-2287, MYFACES-1837), Cosine Score: 0.701455295085907, Label: 0
Pair: (MYFACES-1644, MYFACES-3427), Cosine Score: 0.7485957741737366, Label: 0
Pair: (MYFACES-4018, MYFACES-2803), Cosine Score: 0.5754164457321167, Label: 0
Pair: (MYFACES-2792, MYFACES-2546), Cosine Score: 0.8092256784439087, Label: 0
Pair: (MYFACES-704, MYFACES-3327), Cosine Score: 0.8301749229431152, Label: 0
Pair: (MYFACES-2327, MYFACES-2341), Cosine Score: 0.8047915101051331, Label: 0
Pair: (MYFACES-2031, MYFACES-803), Cosine Score: 0.59372878074646, Label: 0
Pair: (MYFACES-3786, MYFACES-420), Cosine Score: 0.4977598190307617, Label: 0
Pair: (MYFACES-3622, MYFACES-71), Cosine Score: 0.652083694934845, Label: 0
Pair: (MYFACES-1609, MYFACES-3568), Cosine Score: 0.39312121272087097, Label: 0
Pair: (MYFACES-2042, MYFACES-3844), Cosine Score: 0.6437246203422546, Label: 0
Pair: (MYFACES-147, MYFACES-231), Cosine Score: 0.7768568992614746, Label: 0
Pair: (MYFACES-1677, MYFACES-339), Cosine Score: 0.5659704804420471, Label: 0
Pair: (MYFACES-865, MYFACES-2577), Cosine Score: 0.6836295127868652, Label: 0
Pair: (MYFACES-3346, MYFACES-1488), Cosine Score: 0.5400447249412537, Label: 0
Pair: (MYFACES-1557, MYFACES-332), Cosine Score: 0.775571346282959, Label: 0
Pair: (MYFACES-1959, MYFACES-1776), Cosine Score: 0.8322550058364868, Label: 0
Pair: (MYFACES-1597, MYFACES-816), Cosine Score: 0.7069217562675476, Label: 0
Pair: (MYFACES-3363, MYFACES-2159), Cosine Score: 0.8251864910125732, Label: 0
Pair: (MYFACES-2082, MYFACES-2664), Cosine Score: 0.7388920783996582, Label: 0
Pair: (MYFACES-3004, MYFACES-3061), Cosine Score: 0.6541177034378052, Label: 0
Pair: (MYFACES-2712, MYFACES-1046), Cosine Score: 0.6633478999137878, Label: 0
Pair: (MYFACES-645, MYFACES-2425), Cosine Score: 0.5720357298851013, Label: 0
Pair: (MYFACES-3527, MYFACES-3766), Cosine Score: 0.5489581227302551, Label: 0
Pair: (MYFACES-3656, MYFACES-3408), Cosine Score: 0.7410607933998108, Label: 0
Pair: (MYFACES-918, MYFACES-2154), Cosine Score: 0.7927369475364685, Label: 0
Pair: (MYFACES-402, MYFACES-2988), Cosine Score: 0.7608721852302551, Label: 0
Pair: (MYFACES-1079, MYFACES-750), Cosine Score: 0.7645837068557739, Label: 0
Pair: (MYFACES-1539, MYFACES-3134), Cosine Score: 0.7037183046340942, Label: 0
Pair: (MYFACES-3999, MYFACES-3263), Cosine Score: 0.6399839520454407, Label: 0
Pair: (MYFACES-1860, MYFACES-2018), Cosine Score: 0.7103506922721863, Label: 0
Pair: (MYFACES-2468, MYFACES-1644), Cosine Score: 0.836180567741394, Label: 0
Pair: (MYFACES-897, MYFACES-1270), Cosine Score: 0.6546118855476379, Label: 0
Pair: (MYFACES-88, MYFACES-3657), Cosine Score: 0.4785929322242737, Label: 0
Pair: (MYFACES-2556, MYFACES-3629), Cosine Score: 0.8520376086235046, Label: 0
Pair: (MYFACES-2468, MYFACES-820), Cosine Score: 0.75652676820755, Label: 0
Pair: (MYFACES-2678, MYFACES-2536), Cosine Score: 0.4126172959804535, Label: 0
Pair: (MYFACES-72, MYFACES-1767), Cosine Score: 0.6666440963745117, Label: 0
Pair: (MYFACES-2078, MYFACES-1482), Cosine Score: 0.6269241571426392, Label: 0
Pair: (MYFACES-2658, MYFACES-3430), Cosine Score: 0.8243356943130493, Label: 0
Pair: (MYFACES-30, MYFACES-130), Cosine Score: 0.8497108817100525, Label: 0
Pair: (MYFACES-2549, MYFACES-245), Cosine Score: 0.32338812947273254, Label: 0
Pair: (MYFACES-2678, MYFACES-2986), Cosine Score: 0.43137326836586, Label: 0
Pair: (MYFACES-178, MYFACES-3155), Cosine Score: 0.7011037468910217, Label: 0
Pair: (MYFACES-2756, MYFACES-1943), Cosine Score: 0.760162353515625, Label: 0
Pair: (MYFACES-66, MYFACES-1572), Cosine Score: 0.5807232856750488, Label: 0
Pair: (MYFACES-3813, MYFACES-3300), Cosine Score: 0.6476503610610962, Label: 0
Pair: (MYFACES-1010, MYFACES-3163), Cosine Score: 0.5478965044021606, Label: 0
Pair: (MYFACES-2133, MYFACES-3377), Cosine Score: 0.7317322492599487, Label: 0
