Pair: (DRILL-93, DRILL-91), Cosine Score: 1, Label: 1
Pair: (DRILL-2391, DRILL-1967), Cosine Score: 0.8323417901992798, Label: 1
Pair: (DRILL-2398, DRILL-2277), Cosine Score: 0.7567493915557861, Label: 1
Pair: (DRILL-2410, DRILL-2408), Cosine Score: 0.80174320936203, Label: 1
Pair: (DRILL-2411, DRILL-2277), Cosine Score: 0.7594952583312988, Label: 1
Pair: (DRILL-2411, DRILL-2398), Cosine Score: 0.8685760498046875, Label: 1
Pair: (DRILL-2425, DRILL-2036), Cosine Score: 0.8726334571838379, Label: 1
Pair: (DRILL-2507, DRILL-2351), Cosine Score: 0.845767617225647, Label: 1
Pair: (DRILL-2513, DRILL-2093), Cosine Score: 0.8062044978141785, Label: 1
Pair: (DRILL-2574, DRILL-1909), Cosine Score: 0.8348118662834167, Label: 1
Pair: (DRILL-2606, DRILL-2605), Cosine Score: 0.8688827753067017, Label: 1
Pair: (DRILL-2615, DRILL-1709), Cosine Score: 0.883578360080719, Label: 1
Pair: (DRILL-2616, DRILL-2109), Cosine Score: 0.8302419781684875, Label: 1
Pair: (DRILL-2648, DRILL-2609), Cosine Score: 0.8244192004203796, Label: 1
Pair: (DRILL-2716, DRILL-1460), Cosine Score: 0.8844470381736755, Label: 1
Pair: (DRILL-2727, DRILL-1954), Cosine Score: 0.8856173753738403, Label: 1
Pair: (DRILL-2731, DRILL-2198), Cosine Score: 0.7058058381080627, Label: 1
Pair: (DRILL-2775, DRILL-2618), Cosine Score: 0.7934173941612244, Label: 1
Pair: (DRILL-2787, DRILL-2786), Cosine Score: 0.9972084164619446, Label: 1
Pair: (DRILL-2794, DRILL-2553), Cosine Score: 0.7584933638572693, Label: 1
Pair: (DRILL-2801, DRILL-2083), Cosine Score: 0.9099655151367188, Label: 1
Pair: (DRILL-2830, DRILL-2345), Cosine Score: 0.8353492617607117, Label: 1
Pair: (DRILL-2838, DRILL-2167), Cosine Score: 0.8175817131996155, Label: 1
Pair: (DRILL-3006, DRILL-1980), Cosine Score: 0.8377215266227722, Label: 1
Pair: (DRILL-3101, DRILL-1499), Cosine Score: 0.8234387636184692, Label: 1
Pair: (DRILL-3163, DRILL-2699), Cosine Score: 0.5904494524002075, Label: 1
Pair: (DRILL-3164, DRILL-1491), Cosine Score: 0.8382581472396851, Label: 1
Pair: (DRILL-3167, DRILL-2699), Cosine Score: 0.815929651260376, Label: 1
Pair: (DRILL-3167, DRILL-3163), Cosine Score: 0.7556403875350952, Label: 1
Pair: (DRILL-3172, DRILL-1863), Cosine Score: 0.69907146692276, Label: 1
Pair: (DRILL-3174, DRILL-2724), Cosine Score: 0.7802355289459229, Label: 1
Pair: (DRILL-3175, DRILL-1862), Cosine Score: 0.7420886754989624, Label: 1
Pair: (DRILL-3217, DRILL-3208), Cosine Score: 0.8845966458320618, Label: 1
Pair: (DRILL-3224, DRILL-3205), Cosine Score: 0.877996563911438, Label: 1
Pair: (DRILL-3247, DRILL-3218), Cosine Score: 0.9262862205505371, Label: 1
Pair: (DRILL-3263, DRILL-3234), Cosine Score: 0.8149996399879456, Label: 1
Pair: (DRILL-3287, DRILL-3122), Cosine Score: 0.9337984323501587, Label: 1
Pair: (DRILL-3303, DRILL-1491), Cosine Score: 0.7657656669616699, Label: 1
Pair: (DRILL-3303, DRILL-3164), Cosine Score: 0.8576624989509583, Label: 1
Pair: (DRILL-3338, DRILL-3279), Cosine Score: 0.9085946083068848, Label: 1
Pair: (DRILL-3344, DRILL-3211), Cosine Score: 0.8266093134880066, Label: 1
Pair: (DRILL-3351, DRILL-3211), Cosine Score: 0.8483900427818298, Label: 1
Pair: (DRILL-3351, DRILL-3344), Cosine Score: 0.8409057855606079, Label: 1
Pair: (DRILL-3358, DRILL-3327), Cosine Score: 0.7852582335472107, Label: 1
Pair: (DRILL-3380, DRILL-3379), Cosine Score: 0.7748371362686157, Label: 1
Pair: (DRILL-3424, DRILL-540), Cosine Score: 0.9545966386795044, Label: 1
Pair: (DRILL-3445, DRILL-3312), Cosine Score: 0.725529134273529, Label: 1
Pair: (DRILL-3495, DRILL-3479), Cosine Score: 0.8952146768569946, Label: 1
Pair: (DRILL-3508, DRILL-2618), Cosine Score: 0.7190919518470764, Label: 1
Pair: (DRILL-3508, DRILL-2775), Cosine Score: 0.8083937764167786, Label: 1
Pair: (DRILL-3544, DRILL-2862), Cosine Score: 0.8370010852813721, Label: 1
Pair: (DRILL-3591, DRILL-2852), Cosine Score: 0.936241090297699, Label: 1
Pair: (DRILL-3620, DRILL-3479), Cosine Score: 0.9125280976295471, Label: 1
Pair: (DRILL-3620, DRILL-3495), Cosine Score: 0.9116466045379639, Label: 1
Pair: (DRILL-3632, DRILL-3566), Cosine Score: 0.9492623209953308, Label: 1
Pair: (DRILL-3639, DRILL-2852), Cosine Score: 0.8586772680282593, Label: 1
Pair: (DRILL-3639, DRILL-3591), Cosine Score: 0.8808428645133972, Label: 1
Pair: (DRILL-3642, DRILL-3616), Cosine Score: 0.7275442481040955, Label: 1
Pair: (DRILL-3674, DRILL-3583), Cosine Score: 0.9259594082832336, Label: 1
Pair: (DRILL-3680, DRILL-3679), Cosine Score: 0.8518447279930115, Label: 1
Pair: (DRILL-3690, DRILL-3667), Cosine Score: 0.7301159501075745, Label: 1
Pair: (DRILL-3716, DRILL-2748), Cosine Score: 0.8286237716674805, Label: 1
Pair: (DRILL-3737, DRILL-3539), Cosine Score: 0.8146810531616211, Label: 1
Pair: (DRILL-3798, DRILL-3781), Cosine Score: 0.8623855113983154, Label: 1
Pair: (DRILL-3813, DRILL-2618), Cosine Score: 0.7552847862243652, Label: 1
Pair: (DRILL-3813, DRILL-2775), Cosine Score: 0.8385269045829773, Label: 1
Pair: (DRILL-3813, DRILL-3508), Cosine Score: 0.7922600507736206, Label: 1
Pair: (DRILL-3829, DRILL-3827), Cosine Score: 0.771331787109375, Label: 1
Pair: (DRILL-3903, DRILL-2618), Cosine Score: 0.8059225082397461, Label: 1
Pair: (DRILL-3903, DRILL-2775), Cosine Score: 0.9003504514694214, Label: 1
Pair: (DRILL-3903, DRILL-3508), Cosine Score: 0.8282918930053711, Label: 1
Pair: (DRILL-3903, DRILL-3813), Cosine Score: 0.9232950210571289, Label: 1
Pair: (DRILL-3908, DRILL-3355), Cosine Score: 0.827822744846344, Label: 1
Pair: (DRILL-3939, DRILL-3228), Cosine Score: 0.7316051125526428, Label: 1
Pair: (DRILL-3965, DRILL-3376), Cosine Score: 0.9051027894020081, Label: 1
Pair: (DRILL-4044, DRILL-4035), Cosine Score: 0.9207280874252319, Label: 1
Pair: (DRILL-4055, DRILL-2618), Cosine Score: 0.8001017570495605, Label: 1
Pair: (DRILL-4055, DRILL-2775), Cosine Score: 0.878250777721405, Label: 1
Pair: (DRILL-4055, DRILL-3508), Cosine Score: 0.8438413739204407, Label: 1
Pair: (DRILL-4055, DRILL-3813), Cosine Score: 0.8910311460494995, Label: 1
Pair: (DRILL-4055, DRILL-3903), Cosine Score: 0.9171099066734314, Label: 1
Pair: (DRILL-4102, DRILL-2853), Cosine Score: 0.6833886504173279, Label: 1
Pair: (DRILL-4145, DRILL-4140), Cosine Score: 0.8569747805595398, Label: 1
Pair: (DRILL-1188, DRILL-4103), Cosine Score: 0.7173993587493896, Label: 0
Pair: (DRILL-2058, DRILL-2791), Cosine Score: 0.4663543701171875, Label: 0
Pair: (DRILL-3349, DRILL-2347), Cosine Score: 0.47871264815330505, Label: 0
Pair: (DRILL-604, DRILL-1556), Cosine Score: 0.7136403918266296, Label: 0
Pair: (DRILL-3283, DRILL-2738), Cosine Score: 0.5997018218040466, Label: 0
Pair: (DRILL-2578, DRILL-1), Cosine Score: 0.6066253185272217, Label: 0
Pair: (DRILL-4089, DRILL-3030), Cosine Score: 0.6362783312797546, Label: 0
Pair: (DRILL-2676, DRILL-767), Cosine Score: 0.7240644097328186, Label: 0
Pair: (DRILL-1126, DRILL-1120), Cosine Score: 0.5947666168212891, Label: 0
Pair: (DRILL-3651, DRILL-2879), Cosine Score: 0.5547972917556763, Label: 0
Pair: (DRILL-4122, DRILL-796), Cosine Score: 0.6653151512145996, Label: 0
Pair: (DRILL-726, DRILL-3344), Cosine Score: 0.8197718262672424, Label: 0
Pair: (DRILL-433, DRILL-1925), Cosine Score: 0.31038492918014526, Label: 0
Pair: (DRILL-4072, DRILL-2851), Cosine Score: 0.7227146029472351, Label: 0
Pair: (DRILL-1506, DRILL-3497), Cosine Score: 0.4309973120689392, Label: 0
Pair: (DRILL-1297, DRILL-1786), Cosine Score: 0.4680917263031006, Label: 0
Pair: (DRILL-3083, DRILL-3033), Cosine Score: 0.6022816896438599, Label: 0
Pair: (DRILL-64, DRILL-1700), Cosine Score: 0.78650963306427, Label: 0
Pair: (DRILL-3522, DRILL-699), Cosine Score: 0.6459354758262634, Label: 0
Pair: (DRILL-2411, DRILL-1408), Cosine Score: 0.6863855719566345, Label: 0
Pair: (DRILL-4211, DRILL-3371), Cosine Score: 0.7070671916007996, Label: 0
Pair: (DRILL-4036, DRILL-1522), Cosine Score: 0.7634730935096741, Label: 0
Pair: (DRILL-4117, DRILL-27), Cosine Score: 0.5353385806083679, Label: 0
Pair: (DRILL-860, DRILL-985), Cosine Score: 0.6546944379806519, Label: 0
Pair: (DRILL-2530, DRILL-3595), Cosine Score: 0.6424433588981628, Label: 0
Pair: (DRILL-1375, DRILL-765), Cosine Score: 0.5767397284507751, Label: 0
Pair: (DRILL-2544, DRILL-3071), Cosine Score: 0.6669425368309021, Label: 0
Pair: (DRILL-169, DRILL-1239), Cosine Score: 0.5766682028770447, Label: 0
Pair: (DRILL-2781, DRILL-2474), Cosine Score: 0.40103283524513245, Label: 0
Pair: (DRILL-2035, DRILL-2266), Cosine Score: 0.4582677185535431, Label: 0
Pair: (DRILL-1181, DRILL-1954), Cosine Score: 0.7208296060562134, Label: 0
Pair: (DRILL-4240, DRILL-1078), Cosine Score: 0.6199812889099121, Label: 0
Pair: (DRILL-1138, DRILL-673), Cosine Score: 0.8563074469566345, Label: 0
Pair: (DRILL-2521, DRILL-1208), Cosine Score: 0.5559501051902771, Label: 0
Pair: (DRILL-2369, DRILL-4246), Cosine Score: 0.4737786650657654, Label: 0
Pair: (DRILL-3523, DRILL-1272), Cosine Score: 0.617245078086853, Label: 0
Pair: (DRILL-1143, DRILL-2968), Cosine Score: 0.7331938743591309, Label: 0
Pair: (DRILL-1511, DRILL-62), Cosine Score: 0.7161036729812622, Label: 0
Pair: (DRILL-1265, DRILL-228), Cosine Score: 0.6695780754089355, Label: 0
Pair: (DRILL-389, DRILL-726), Cosine Score: 0.704906165599823, Label: 0
Pair: (DRILL-199, DRILL-1406), Cosine Score: 0.6179947853088379, Label: 0
Pair: (DRILL-1008, DRILL-2930), Cosine Score: 0.7054300308227539, Label: 0
Pair: (DRILL-1160, DRILL-1138), Cosine Score: 0.7652301788330078, Label: 0
Pair: (DRILL-3950, DRILL-3287), Cosine Score: 0.5161753296852112, Label: 0
Pair: (DRILL-2893, DRILL-1397), Cosine Score: 0.8605185747146606, Label: 0
Pair: (DRILL-1412, DRILL-1662), Cosine Score: 0.5095465183258057, Label: 0
Pair: (DRILL-3788, DRILL-2412), Cosine Score: 0.751546323299408, Label: 0
Pair: (DRILL-4125, DRILL-749), Cosine Score: 0.6367824077606201, Label: 0
Pair: (DRILL-3723, DRILL-2967), Cosine Score: 0.44955313205718994, Label: 0
Pair: (DRILL-2353, DRILL-3931), Cosine Score: 0.5872015953063965, Label: 0
Pair: (DRILL-1131, DRILL-4223), Cosine Score: 0.628799557685852, Label: 0
Pair: (DRILL-1055, DRILL-3709), Cosine Score: 0.6821653246879578, Label: 0
Pair: (DRILL-35, DRILL-188), Cosine Score: 0.6883230209350586, Label: 0
Pair: (DRILL-566, DRILL-2909), Cosine Score: 0.4785849153995514, Label: 0
Pair: (DRILL-2472, DRILL-231), Cosine Score: 0.5649394392967224, Label: 0
Pair: (DRILL-2238, DRILL-3426), Cosine Score: 0.6479337811470032, Label: 0
Pair: (DRILL-4258, DRILL-3267), Cosine Score: 0.6193771958351135, Label: 0
Pair: (DRILL-2755, DRILL-2924), Cosine Score: 0.4769221544265747, Label: 0
Pair: (DRILL-2608, DRILL-3223), Cosine Score: 0.7661567330360413, Label: 0
Pair: (DRILL-2994, DRILL-24), Cosine Score: 0.48740819096565247, Label: 0
Pair: (DRILL-2396, DRILL-3301), Cosine Score: 0.44722288846969604, Label: 0
Pair: (DRILL-42, DRILL-2883), Cosine Score: 0.290759801864624, Label: 0
Pair: (DRILL-3989, DRILL-3367), Cosine Score: 0.6760096549987793, Label: 0
Pair: (DRILL-3129, DRILL-2795), Cosine Score: 0.6640107035636902, Label: 0
Pair: (DRILL-4025, DRILL-1841), Cosine Score: 0.4804329574108124, Label: 0
Pair: (DRILL-722, DRILL-4078), Cosine Score: 0.5273824334144592, Label: 0
Pair: (DRILL-1662, DRILL-104), Cosine Score: 0.7167097330093384, Label: 0
Pair: (DRILL-3635, DRILL-2882), Cosine Score: 0.739570677280426, Label: 0
Pair: (DRILL-1537, DRILL-1001), Cosine Score: 0.3062385022640228, Label: 0
Pair: (DRILL-3749, DRILL-380), Cosine Score: 0.7158567905426025, Label: 0
Pair: (DRILL-3922, DRILL-3284), Cosine Score: 0.5917950868606567, Label: 0
Pair: (DRILL-780, DRILL-4205), Cosine Score: 0.7512310147285461, Label: 0
Pair: (DRILL-2814, DRILL-1303), Cosine Score: 0.760938823223114, Label: 0
Pair: (DRILL-1815, DRILL-416), Cosine Score: 0.7258899807929993, Label: 0
Pair: (DRILL-122, DRILL-3198), Cosine Score: 0.5418739914894104, Label: 0
Pair: (DRILL-1719, DRILL-1352), Cosine Score: 0.7063416242599487, Label: 0
Pair: (DRILL-232, DRILL-2668), Cosine Score: 0.580799400806427, Label: 0
Pair: (DRILL-598, DRILL-1993), Cosine Score: 0.5836599469184875, Label: 0
