Pair: (AMQ-220, AMQ-206), Cosine Score: 0.9703666567802429, Label: 1
Pair: (AMQ-3666, AMQ-3660), Cosine Score: 0.9398078918457031, Label: 1
Pair: (AMQ-3677, AMQ-3634), Cosine Score: 0.7266302704811096, Label: 1
Pair: (AMQ-3712, AMQ-3526), Cosine Score: 0.7844478487968445, Label: 1
Pair: (AMQ-3712, AMQ-3655), Cosine Score: 0.8889755010604858, Label: 1
Pair: (AMQ-3793, AMQ-3764), Cosine Score: 0.9704713225364685, Label: 1
Pair: (AMQ-3794, AMQ-3284), Cosine Score: 0.9249616265296936, Label: 1
Pair: (AMQ-3818, AMQ-3801), Cosine Score: 0.7261752486228943, Label: 1
Pair: (AMQ-3912, AMQ-3444), Cosine Score: 0.8198281526565552, Label: 1
Pair: (AMQ-3925, AMQ-3907), Cosine Score: 0.8020104169845581, Label: 1
Pair: (AMQ-3952, AMQ-2971), Cosine Score: 0.9514790177345276, Label: 1
Pair: (AMQ-3959, AMQ-3797), Cosine Score: 0.9322391152381897, Label: 1
Pair: (AMQ-4040, AMQ-3586), Cosine Score: 0.8023691773414612, Label: 1
Pair: (AMQ-4072, AMQ-3857), Cosine Score: 0.7849108576774597, Label: 1
Pair: (AMQ-4259, AMQ-4118), Cosine Score: 0.8646479845046997, Label: 1
Pair: (AMQ-4287, AMQ-3465), Cosine Score: 0.9348486065864563, Label: 1
Pair: (AMQ-4287, AMQ-3602), Cosine Score: 0.9816376566886902, Label: 1
Pair: (AMQ-4296, AMQ-4268), Cosine Score: 0.9315305948257446, Label: 1
Pair: (AMQ-4308, AMQ-4307), Cosine Score: 0.936761736869812, Label: 1
Pair: (AMQ-4329, AMQ-4268), Cosine Score: 0.9142429232597351, Label: 1
Pair: (AMQ-4329, AMQ-4296), Cosine Score: 0.9388725161552429, Label: 1
Pair: (AMQ-4349, AMQ-4346), Cosine Score: 0.9659130573272705, Label: 1
Pair: (AMQ-4368, AMQ-4295), Cosine Score: 0.902229368686676, Label: 1
Pair: (AMQ-4393, AMQ-4314), Cosine Score: 0.9256722927093506, Label: 1
Pair: (AMQ-4436, AMQ-4251), Cosine Score: 0.9647166132926941, Label: 1
Pair: (AMQ-4478, AMQ-4477), Cosine Score: 1, Label: 1
Pair: (AMQ-4494, AMQ-4467), Cosine Score: 0.8095597624778748, Label: 1
Pair: (AMQ-4581, AMQ-4382), Cosine Score: 0.9389772415161133, Label: 1
Pair: (AMQ-4616, AMQ-3405), Cosine Score: 0.976039469242096, Label: 1
Pair: (AMQ-4654, AMQ-4375), Cosine Score: 0.93302321434021, Label: 1
Pair: (AMQ-4683, AMQ-4550), Cosine Score: 0.816723108291626, Label: 1
Pair: (AMQ-4698, AMQ-4676), Cosine Score: 0.9490982294082642, Label: 1
Pair: (AMQ-4707, AMQ-4641), Cosine Score: 0.9842531085014343, Label: 1
Pair: (AMQ-4770, AMQ-4769), Cosine Score: 1, Label: 1
Pair: (AMQ-4771, AMQ-4769), Cosine Score: 0.9985370635986328, Label: 1
Pair: (AMQ-4771, AMQ-4770), Cosine Score: 0.9985370635986328, Label: 1
Pair: (AMQ-4772, AMQ-4769), Cosine Score: 0.7660463452339172, Label: 1
Pair: (AMQ-4772, AMQ-4770), Cosine Score: 0.7660463452339172, Label: 1
Pair: (AMQ-4772, AMQ-4771), Cosine Score: 0.7700966000556946, Label: 1
Pair: (AMQ-4773, AMQ-4769), Cosine Score: 0.9973680973052979, Label: 1
Pair: (AMQ-4773, AMQ-4770), Cosine Score: 0.9973680973052979, Label: 1
Pair: (AMQ-4773, AMQ-4771), Cosine Score: 0.9983987808227539, Label: 1
Pair: (AMQ-4773, AMQ-4772), Cosine Score: 0.7711426615715027, Label: 1
Pair: (AMQ-4781, AMQ-4780), Cosine Score: 0.9416278004646301, Label: 1
Pair: (AMQ-4783, AMQ-4550), Cosine Score: 0.8265302777290344, Label: 1
Pair: (AMQ-4783, AMQ-4683), Cosine Score: 0.9554896950721741, Label: 1
Pair: (AMQ-4810, AMQ-4684), Cosine Score: 0.9055215120315552, Label: 1
Pair: (AMQ-4870, AMQ-4869), Cosine Score: 0.9333609342575073, Label: 1
Pair: (AMQ-4892, AMQ-4692), Cosine Score: 0.9470342397689819, Label: 1
Pair: (AMQ-4906, AMQ-4731), Cosine Score: 0.8718700408935547, Label: 1
Pair: (AMQ-5048, AMQ-2832), Cosine Score: 0.8029595613479614, Label: 1
Pair: (AMQ-5169, AMQ-4147), Cosine Score: 0.8770982027053833, Label: 1
Pair: (AMQ-5220, AMQ-2098), Cosine Score: 0.9244318008422852, Label: 1
Pair: (AMQ-5255, AMQ-5254), Cosine Score: 1, Label: 1
Pair: (AMQ-5257, AMQ-5105), Cosine Score: 0.9383453726768494, Label: 1
Pair: (AMQ-5273, AMQ-5256), Cosine Score: 0.9596086740493774, Label: 1
Pair: (AMQ-5281, AMQ-5280), Cosine Score: 0.9638206362724304, Label: 1
Pair: (AMQ-5326, AMQ-3300), Cosine Score: 0.9287511110305786, Label: 1
Pair: (AMQ-5328, AMQ-4832), Cosine Score: 0.9084038734436035, Label: 1
Pair: (AMQ-5337, AMQ-4731), Cosine Score: 0.9158838391304016, Label: 1
Pair: (AMQ-5337, AMQ-4906), Cosine Score: 0.9306309819221497, Label: 1
Pair: (AMQ-5356, AMQ-5272), Cosine Score: 0.9034723043441772, Label: 1
Pair: (AMQ-5384, AMQ-4566), Cosine Score: 0.8954301476478577, Label: 1
Pair: (AMQ-5404, AMQ-4684), Cosine Score: 0.9160316586494446, Label: 1
Pair: (AMQ-5404, AMQ-4810), Cosine Score: 0.9472196102142334, Label: 1
Pair: (AMQ-5418, AMQ-5382), Cosine Score: 0.9396882057189941, Label: 1
Pair: (AMQ-5426, AMQ-5425), Cosine Score: 0.9859693646430969, Label: 1
Pair: (AMQ-5430, AMQ-4684), Cosine Score: 0.9676209688186646, Label: 1
Pair: (AMQ-5430, AMQ-4810), Cosine Score: 0.8759669661521912, Label: 1
Pair: (AMQ-5430, AMQ-5404), Cosine Score: 0.8867583870887756, Label: 1
Pair: (AMQ-5473, AMQ-5428), Cosine Score: 0.8627392053604126, Label: 1
Pair: (AMQ-5474, AMQ-4731), Cosine Score: 0.9507577419281006, Label: 1
Pair: (AMQ-5474, AMQ-4906), Cosine Score: 0.8823924660682678, Label: 1
Pair: (AMQ-5474, AMQ-5337), Cosine Score: 0.9230209589004517, Label: 1
Pair: (AMQ-5490, AMQ-5475), Cosine Score: 0.922605037689209, Label: 1
Pair: (AMQ-5507, AMQ-5016), Cosine Score: 0.9201842546463013, Label: 1
Pair: (AMQ-5517, AMQ-4940), Cosine Score: 0.8639649152755737, Label: 1
Pair: (AMQ-5564, AMQ-5555), Cosine Score: 0.8261305093765259, Label: 1
Pair: (AMQ-5572, AMQ-3284), Cosine Score: 0.8892903923988342, Label: 1
Pair: (AMQ-5572, AMQ-3794), Cosine Score: 0.94968181848526, Label: 1
Pair: (AMQ-5685, AMQ-5252), Cosine Score: 0.7507051229476929, Label: 1
Pair: (AMQ-5701, AMQ-5700), Cosine Score: 1, Label: 1
Pair: (AMQ-5786, AMQ-3098), Cosine Score: 0.9139912724494934, Label: 1
Pair: (AMQ-5818, AMQ-5272), Cosine Score: 0.8780576586723328, Label: 1
Pair: (AMQ-5818, AMQ-5356), Cosine Score: 0.931877076625824, Label: 1
Pair: (AMQ-5826, AMQ-2040), Cosine Score: 0.8000816702842712, Label: 1
Pair: (AMQ-5928, AMQ-5272), Cosine Score: 0.8833692073822021, Label: 1
Pair: (AMQ-5928, AMQ-5356), Cosine Score: 0.9293029308319092, Label: 1
Pair: (AMQ-5928, AMQ-5818), Cosine Score: 0.9192466139793396, Label: 1
Pair: (AMQ-5943, AMQ-5408), Cosine Score: 0.9269068837165833, Label: 1
Pair: (AMQ-5946, AMQ-5945), Cosine Score: 0.9933854937553406, Label: 1
Pair: (AMQ-5979, AMQ-5272), Cosine Score: 0.8760408759117126, Label: 1
Pair: (AMQ-5979, AMQ-5356), Cosine Score: 0.9332349896430969, Label: 1
Pair: (AMQ-5979, AMQ-5818), Cosine Score: 0.9576159119606018, Label: 1
Pair: (AMQ-5979, AMQ-5928), Cosine Score: 0.9471376538276672, Label: 1
Pair: (AMQ-6110, AMQ-6077), Cosine Score: 0.9271126389503479, Label: 1
Pair: (AMQ-6139, AMQ-5486), Cosine Score: 0.8622705340385437, Label: 1
Pair: (AMQ-6139, AMQ-6126), Cosine Score: 0.8412226438522339, Label: 1
Pair: (AMQ-5910, AMQ-1828), Cosine Score: 0.7543959617614746, Label: 0
Pair: (AMQ-2736, AMQ-4888), Cosine Score: 0.8683565855026245, Label: 0
Pair: (AMQ-740, AMQ-2566), Cosine Score: 0.804901659488678, Label: 0
Pair: (AMQ-282, AMQ-4606), Cosine Score: 0.8627632856369019, Label: 0
Pair: (AMQ-488, AMQ-4015), Cosine Score: 0.8358150124549866, Label: 0
Pair: (AMQ-790, AMQ-5290), Cosine Score: 0.7990217804908752, Label: 0
Pair: (AMQ-236, AMQ-3915), Cosine Score: 0.8013735413551331, Label: 0
Pair: (AMQ-4677, AMQ-2083), Cosine Score: 0.8016275763511658, Label: 0
Pair: (AMQ-4232, AMQ-1708), Cosine Score: 0.8349610567092896, Label: 0
Pair: (AMQ-2305, AMQ-5990), Cosine Score: 0.7547730207443237, Label: 0
Pair: (AMQ-4523, AMQ-2726), Cosine Score: 0.7425433397293091, Label: 0
Pair: (AMQ-2231, AMQ-5874), Cosine Score: 0.8039888739585876, Label: 0
Pair: (AMQ-3375, AMQ-6091), Cosine Score: 0.6175333857536316, Label: 0
Pair: (AMQ-3647, AMQ-5912), Cosine Score: 0.9057844281196594, Label: 0
Pair: (AMQ-3900, AMQ-2030), Cosine Score: 0.7118563652038574, Label: 0
Pair: (AMQ-1992, AMQ-1678), Cosine Score: 0.897354006767273, Label: 0
Pair: (AMQ-940, AMQ-2848), Cosine Score: 0.8633104562759399, Label: 0
Pair: (AMQ-2184, AMQ-66), Cosine Score: 0.6677039265632629, Label: 0
Pair: (AMQ-4331, AMQ-2733), Cosine Score: 0.7667405009269714, Label: 0
Pair: (AMQ-4929, AMQ-5133), Cosine Score: 0.8634365797042847, Label: 0
Pair: (AMQ-2038, AMQ-53), Cosine Score: 0.7669827342033386, Label: 0
Pair: (AMQ-723, AMQ-1685), Cosine Score: 0.719052791595459, Label: 0
Pair: (AMQ-1301, AMQ-317), Cosine Score: 0.7778670191764832, Label: 0
Pair: (AMQ-306, AMQ-6077), Cosine Score: 0.8096951246261597, Label: 0
Pair: (AMQ-2624, AMQ-3179), Cosine Score: 0.8186871409416199, Label: 0
Pair: (AMQ-2563, AMQ-4254), Cosine Score: 0.8376137614250183, Label: 0
Pair: (AMQ-355, AMQ-3652), Cosine Score: 0.693085253238678, Label: 0
Pair: (AMQ-4397, AMQ-5816), Cosine Score: 0.7810623645782471, Label: 0
Pair: (AMQ-5280, AMQ-697), Cosine Score: 0.895643413066864, Label: 0
Pair: (AMQ-1230, AMQ-5352), Cosine Score: 0.906089186668396, Label: 0
Pair: (AMQ-4288, AMQ-6018), Cosine Score: 0.8011531829833984, Label: 0
Pair: (AMQ-3165, AMQ-2546), Cosine Score: 0.7594935894012451, Label: 0
Pair: (AMQ-4054, AMQ-4371), Cosine Score: 0.8581414222717285, Label: 0
Pair: (AMQ-4897, AMQ-2625), Cosine Score: 0.696985125541687, Label: 0
Pair: (AMQ-507, AMQ-4043), Cosine Score: 0.8737567663192749, Label: 0
Pair: (AMQ-1310, AMQ-2551), Cosine Score: 0.8494957685470581, Label: 0
Pair: (AMQ-4345, AMQ-3395), Cosine Score: 0.8253538608551025, Label: 0
Pair: (AMQ-3175, AMQ-2922), Cosine Score: 0.6499041318893433, Label: 0
Pair: (AMQ-242, AMQ-3064), Cosine Score: 0.8172922730445862, Label: 0
Pair: (AMQ-2144, AMQ-1892), Cosine Score: 0.884775698184967, Label: 0
Pair: (AMQ-379, AMQ-4067), Cosine Score: 0.8155701160430908, Label: 0
Pair: (AMQ-4127, AMQ-5850), Cosine Score: 0.915510356426239, Label: 0
Pair: (AMQ-4115, AMQ-3903), Cosine Score: 0.6207252144813538, Label: 0
Pair: (AMQ-4005, AMQ-402), Cosine Score: 0.7227784395217896, Label: 0
Pair: (AMQ-3183, AMQ-4124), Cosine Score: 0.7655813097953796, Label: 0
Pair: (AMQ-4107, AMQ-3487), Cosine Score: 0.9040788412094116, Label: 0
Pair: (AMQ-841, AMQ-45), Cosine Score: 0.8613988161087036, Label: 0
Pair: (AMQ-3005, AMQ-3818), Cosine Score: 0.6892368793487549, Label: 0
Pair: (AMQ-4985, AMQ-3712), Cosine Score: 0.7958574891090393, Label: 0
Pair: (AMQ-869, AMQ-4116), Cosine Score: 0.7961388826370239, Label: 0
Pair: (AMQ-3538, AMQ-2843), Cosine Score: 0.7592034935951233, Label: 0
Pair: (AMQ-5617, AMQ-741), Cosine Score: 0.9130384922027588, Label: 0
Pair: (AMQ-895, AMQ-5412), Cosine Score: 0.8760275840759277, Label: 0
Pair: (AMQ-521, AMQ-3031), Cosine Score: 0.5966742038726807, Label: 0
Pair: (AMQ-4539, AMQ-2531), Cosine Score: 0.7659048438072205, Label: 0
Pair: (AMQ-1272, AMQ-4845), Cosine Score: 0.8665112257003784, Label: 0
Pair: (AMQ-1547, AMQ-5735), Cosine Score: 0.8225265145301819, Label: 0
Pair: (AMQ-5317, AMQ-4158), Cosine Score: 0.750896155834198, Label: 0
Pair: (AMQ-5183, AMQ-5293), Cosine Score: 0.8915570378303528, Label: 0
Pair: (AMQ-2915, AMQ-4903), Cosine Score: 0.6393139958381653, Label: 0
Pair: (AMQ-3732, AMQ-3410), Cosine Score: 0.8714097142219543, Label: 0
Pair: (AMQ-3725, AMQ-4001), Cosine Score: 0.9073752760887146, Label: 0
Pair: (AMQ-1143, AMQ-2406), Cosine Score: 0.8318778872489929, Label: 0
Pair: (AMQ-3748, AMQ-634), Cosine Score: 0.9089308977127075, Label: 0
Pair: (AMQ-5518, AMQ-3716), Cosine Score: 0.7385902404785156, Label: 0
Pair: (AMQ-2470, AMQ-4268), Cosine Score: 0.7466459274291992, Label: 0
Pair: (AMQ-5876, AMQ-4418), Cosine Score: 0.6941494941711426, Label: 0
Pair: (AMQ-4173, AMQ-4049), Cosine Score: 0.818656861782074, Label: 0
Pair: (AMQ-3868, AMQ-2488), Cosine Score: 0.8916487693786621, Label: 0
Pair: (AMQ-3528, AMQ-3785), Cosine Score: 0.8996037244796753, Label: 0
Pair: (AMQ-5662, AMQ-4696), Cosine Score: 0.9037855267524719, Label: 0
Pair: (AMQ-4337, AMQ-2583), Cosine Score: 0.7479957342147827, Label: 0
Pair: (AMQ-5595, AMQ-5530), Cosine Score: 0.8542689681053162, Label: 0
Pair: (AMQ-5596, AMQ-2217), Cosine Score: 0.7804531455039978, Label: 0
Pair: (AMQ-3509, AMQ-867), Cosine Score: 0.8648471832275391, Label: 0
Pair: (AMQ-2502, AMQ-2739), Cosine Score: 0.845119297504425, Label: 0
Pair: (AMQ-4367, AMQ-4999), Cosine Score: 0.8650038838386536, Label: 0
Pair: (AMQ-2800, AMQ-1489), Cosine Score: 0.7840144038200378, Label: 0
Pair: (AMQ-586, AMQ-3827), Cosine Score: 0.8022952079772949, Label: 0
Pair: (AMQ-4499, AMQ-1506), Cosine Score: 0.9022328853607178, Label: 0
Pair: (AMQ-1243, AMQ-1383), Cosine Score: 0.8774652481079102, Label: 0
Pair: (AMQ-4256, AMQ-6105), Cosine Score: 0.7919946908950806, Label: 0
Pair: (AMQ-4438, AMQ-262), Cosine Score: 0.7278170585632324, Label: 0
Pair: (AMQ-4100, AMQ-855), Cosine Score: 0.8110544681549072, Label: 0
Pair: (AMQ-2247, AMQ-1040), Cosine Score: 0.6834182739257812, Label: 0
Pair: (AMQ-5895, AMQ-5521), Cosine Score: 0.879692554473877, Label: 0
Pair: (AMQ-4803, AMQ-747), Cosine Score: 0.6606956720352173, Label: 0
Pair: (AMQ-4614, AMQ-3730), Cosine Score: 0.7388175129890442, Label: 0
Pair: (AMQ-2385, AMQ-5884), Cosine Score: 0.9121487140655518, Label: 0
Pair: (AMQ-786, AMQ-3997), Cosine Score: 0.7992673516273499, Label: 0
Pair: (AMQ-4611, AMQ-5885), Cosine Score: 0.8325223326683044, Label: 0
Pair: (AMQ-3468, AMQ-1616), Cosine Score: 0.7681257724761963, Label: 0
Pair: (AMQ-3905, AMQ-3609), Cosine Score: 0.7411855459213257, Label: 0
Pair: (AMQ-1815, AMQ-2419), Cosine Score: 0.9185361862182617, Label: 0
Pair: (AMQ-1991, AMQ-2824), Cosine Score: 0.8865716457366943, Label: 0
Pair: (AMQ-2068, AMQ-3588), Cosine Score: 0.8411822319030762, Label: 0
Pair: (AMQ-4704, AMQ-3441), Cosine Score: 0.8835785388946533, Label: 0
Pair: (AMQ-6124, AMQ-5033), Cosine Score: 0.8245384693145752, Label: 0
Pair: (AMQ-3578, AMQ-603), Cosine Score: 0.6899211406707764, Label: 0
Pair: (AMQ-1797, AMQ-2778), Cosine Score: 0.715959370136261, Label: 0
Pair: (AMQ-3713, AMQ-814), Cosine Score: 0.776357114315033, Label: 0
Pair: (AMQ-5271, AMQ-3656), Cosine Score: 0.7960139513015747, Label: 0
Pair: (AMQ-272, AMQ-2172), Cosine Score: 0.7185478210449219, Label: 0
Pair: (AMQ-5388, AMQ-816), Cosine Score: 0.45864179730415344, Label: 0
Pair: (AMQ-2470, AMQ-2475), Cosine Score: 0.8177294135093689, Label: 0
Pair: (AMQ-2797, AMQ-2993), Cosine Score: 0.7484902739524841, Label: 0
Pair: (AMQ-902, AMQ-5436), Cosine Score: 0.7139050960540771, Label: 0
Pair: (AMQ-1277, AMQ-3986), Cosine Score: 0.8548256754875183, Label: 0
Pair: (AMQ-5618, AMQ-4112), Cosine Score: 0.8878118991851807, Label: 0
Pair: (AMQ-3118, AMQ-909), Cosine Score: 0.7565464973449707, Label: 0
Pair: (AMQ-1863, AMQ-2366), Cosine Score: 0.8426378965377808, Label: 0
Pair: (AMQ-1545, AMQ-5979), Cosine Score: 0.6578397154808044, Label: 0
Pair: (AMQ-3290, AMQ-5642), Cosine Score: 0.8967643976211548, Label: 0
Pair: (AMQ-1858, AMQ-2784), Cosine Score: 0.7710368037223816, Label: 0
Pair: (AMQ-5266, AMQ-2723), Cosine Score: 0.8148249983787537, Label: 0
Pair: (AMQ-2230, AMQ-5434), Cosine Score: 0.8456159830093384, Label: 0
Pair: (AMQ-5488, AMQ-848), Cosine Score: 0.39494889974594116, Label: 0
Pair: (AMQ-130, AMQ-4735), Cosine Score: 0.6912227869033813, Label: 0
Pair: (AMQ-4307, AMQ-3688), Cosine Score: 0.807993471622467, Label: 0
Pair: (AMQ-1546, AMQ-524), Cosine Score: 0.6786087155342102, Label: 0
Pair: (AMQ-5212, AMQ-4992), Cosine Score: 0.9127046465873718, Label: 0
Pair: (AMQ-3412, AMQ-2864), Cosine Score: 0.8841884732246399, Label: 0
Pair: (AMQ-3897, AMQ-3043), Cosine Score: 0.8984500169754028, Label: 0
Pair: (AMQ-5627, AMQ-4182), Cosine Score: 0.7985938191413879, Label: 0
Pair: (AMQ-5010, AMQ-3632), Cosine Score: 0.7966763973236084, Label: 0
Pair: (AMQ-3101, AMQ-2779), Cosine Score: 0.7286481857299805, Label: 0
Pair: (AMQ-597, AMQ-697), Cosine Score: 0.8179681301116943, Label: 0
Pair: (AMQ-2194, AMQ-2428), Cosine Score: 0.5653662085533142, Label: 0
Pair: (AMQ-2624, AMQ-5550), Cosine Score: 0.9260387420654297, Label: 0
Pair: (AMQ-2800, AMQ-4321), Cosine Score: 0.82765132188797, Label: 0
Pair: (AMQ-4485, AMQ-2634), Cosine Score: 0.7446915507316589, Label: 0
Pair: (AMQ-5734, AMQ-2284), Cosine Score: 0.8737491369247437, Label: 0
Pair: (AMQ-1535, AMQ-3152), Cosine Score: 0.8583599328994751, Label: 0
Pair: (AMQ-5598, AMQ-1837), Cosine Score: 0.8587734699249268, Label: 0
Pair: (AMQ-648, AMQ-806), Cosine Score: 0.7794129252433777, Label: 0
Pair: (AMQ-2236, AMQ-5889), Cosine Score: 0.7753938436508179, Label: 0
Pair: (AMQ-3615, AMQ-906), Cosine Score: 0.8597815036773682, Label: 0
Pair: (AMQ-261, AMQ-1265), Cosine Score: 0.8770627975463867, Label: 0
Pair: (AMQ-1756, AMQ-5269), Cosine Score: 0.6666511297225952, Label: 0
Pair: (AMQ-1756, AMQ-4802), Cosine Score: 0.8294810652732849, Label: 0
Pair: (AMQ-1491, AMQ-2364), Cosine Score: 0.830878734588623, Label: 0
Pair: (AMQ-1877, AMQ-4929), Cosine Score: 0.8683537840843201, Label: 0
Pair: (AMQ-2501, AMQ-958), Cosine Score: 0.8190173506736755, Label: 0
Pair: (AMQ-3114, AMQ-2600), Cosine Score: 0.7340832352638245, Label: 0
Pair: (AMQ-5973, AMQ-2968), Cosine Score: 0.5179771184921265, Label: 0
Pair: (AMQ-5862, AMQ-1662), Cosine Score: 0.9172011017799377, Label: 0
