Pair: (MNG-341, MNG-105), Cosine Score: 0.9236359596252441, Label: 1
Pair: (MNG-2420, MNG-2032), Cosine Score: 0.8841531872749329, Label: 1
Pair: (MNG-2420, MNG-2326), Cosine Score: 0.8226476907730103, Label: 1
Pair: (MNG-2420, MNG-2354), Cosine Score: 0.8888590931892395, Label: 1
Pair: (MNG-2424, MNG-1245), Cosine Score: 0.8502635359764099, Label: 1
Pair: (MNG-2424, MNG-1975), Cosine Score: 0.7744427919387817, Label: 1
Pair: (MNG-2426, MNG-1682), Cosine Score: 0.8154094219207764, Label: 1
Pair: (MNG-2426, MNG-2240), Cosine Score: 0.8175467848777771, Label: 1
Pair: (MNG-2443, MNG-1902), Cosine Score: 0.7210768461227417, Label: 1
Pair: (MNG-2443, MNG-2194), Cosine Score: 0.8653334379196167, Label: 1
Pair: (MNG-2448, MNG-2163), Cosine Score: 0.8160067200660706, Label: 1
Pair: (MNG-2490, MNG-2259), Cosine Score: 0.8459936380386353, Label: 1
Pair: (MNG-2534, MNG-1682), Cosine Score: 0.8674484491348267, Label: 1
Pair: (MNG-2534, MNG-2240), Cosine Score: 0.7976517677307129, Label: 1
Pair: (MNG-2534, MNG-2426), Cosine Score: 0.8532971143722534, Label: 1
Pair: (MNG-2541, MNG-1412), Cosine Score: 0.6506437063217163, Label: 1
Pair: (MNG-2569, MNG-624), Cosine Score: 0.6204140782356262, Label: 1
Pair: (MNG-2569, MNG-2971), Cosine Score: 0.6188948750495911, Label: 1
Pair: (MNG-2601, MNG-1908), Cosine Score: 0.8373292088508606, Label: 1
Pair: (MNG-2601, MNG-1919), Cosine Score: 0.7649076581001282, Label: 1
Pair: (MNG-2601, MNG-2289), Cosine Score: 0.814481258392334, Label: 1
Pair: (MNG-2618, MNG-2025), Cosine Score: 0.830559253692627, Label: 1
Pair: (MNG-2618, MNG-2057), Cosine Score: 0.8743042945861816, Label: 1
Pair: (MNG-2618, MNG-2254), Cosine Score: 0.8505564332008362, Label: 1
Pair: (MNG-2627, MNG-1775), Cosine Score: 0.8739960789680481, Label: 1
Pair: (MNG-2627, MNG-2363), Cosine Score: 0.8022125363349915, Label: 1
Pair: (MNG-2633, MNG-1925), Cosine Score: 0.7929274439811707, Label: 1
Pair: (MNG-2633, MNG-2049), Cosine Score: 0.8366538882255554, Label: 1
Pair: (MNG-2633, MNG-2282), Cosine Score: 0.8781771659851074, Label: 1
Pair: (MNG-2647, MNG-2486), Cosine Score: 0.8784194588661194, Label: 1
Pair: (MNG-2651, MNG-2653), Cosine Score: 0.7798591256141663, Label: 1
Pair: (MNG-2651, MNG-2339), Cosine Score: 0.7867906093597412, Label: 1
Pair: (MNG-2662, MNG-2580), Cosine Score: 0.7657273411750793, Label: 1
Pair: (MNG-2677, MNG-870), Cosine Score: 0.6821019649505615, Label: 1
Pair: (MNG-2677, MNG-1883), Cosine Score: 0.6752725839614868, Label: 1
Pair: (MNG-2677, MNG-2135), Cosine Score: 0.6562512516975403, Label: 1
Pair: (MNG-4310, MNG-1486), Cosine Score: 0.8710209727287292, Label: 1
Pair: (MNG-4310, MNG-1906), Cosine Score: 0.8148952722549438, Label: 1
Pair: (MNG-2686, MNG-2101), Cosine Score: 0.6564822793006897, Label: 1
Pair: (MNG-2694, MNG-2626), Cosine Score: 0.8296114206314087, Label: 1
Pair: (MNG-2699, MNG-2692), Cosine Score: 0.8773952126502991, Label: 1
Pair: (MNG-2715, MNG-2714), Cosine Score: 1, Label: 1
Pair: (MNG-2716, MNG-1928), Cosine Score: 0.8831332921981812, Label: 1
Pair: (MNG-2716, MNG-2236), Cosine Score: 0.7891495823860168, Label: 1
Pair: (MNG-2716, MNG-3099), Cosine Score: 0.8631712794303894, Label: 1
Pair: (MNG-2720, MNG-2151), Cosine Score: 0.7642674446105957, Label: 1
Pair: (MNG-2745, MNG-2653), Cosine Score: 0.6836053729057312, Label: 1
Pair: (MNG-2745, MNG-2339), Cosine Score: 0.6873672008514404, Label: 1
Pair: (MNG-2745, MNG-2651), Cosine Score: 0.8461808562278748, Label: 1
Pair: (MNG-2756, MNG-624), Cosine Score: 0.7412140369415283, Label: 1
Pair: (MNG-2756, MNG-2971), Cosine Score: 0.7275644540786743, Label: 1
Pair: (MNG-2756, MNG-2569), Cosine Score: 0.6651900410652161, Label: 1
Pair: (MNG-2773, MNG-2712), Cosine Score: 0.8296985626220703, Label: 1
Pair: (MNG-2782, MNG-2653), Cosine Score: 0.8632071018218994, Label: 1
Pair: (MNG-2782, MNG-2339), Cosine Score: 0.7777413725852966, Label: 1
Pair: (MNG-2782, MNG-2651), Cosine Score: 0.8111388683319092, Label: 1
Pair: (MNG-2782, MNG-2745), Cosine Score: 0.7740715146064758, Label: 1
Pair: (MNG-2793, MNG-2792), Cosine Score: 0.8684671521186829, Label: 1
Pair: (MNG-2795, MNG-2749), Cosine Score: 0.8724475502967834, Label: 1
Pair: (MNG-2796, MNG-2486), Cosine Score: 0.8557184338569641, Label: 1
Pair: (MNG-2796, MNG-2647), Cosine Score: 0.842443585395813, Label: 1
Pair: (MNG-2809, MNG-1775), Cosine Score: 0.7329885363578796, Label: 1
Pair: (MNG-2809, MNG-2363), Cosine Score: 0.7079831957817078, Label: 1
Pair: (MNG-2809, MNG-2627), Cosine Score: 0.7372271418571472, Label: 1
Pair: (MNG-2818, MNG-2025), Cosine Score: 0.8809272050857544, Label: 1
Pair: (MNG-2818, MNG-2057), Cosine Score: 0.9269458651542664, Label: 1
Pair: (MNG-2818, MNG-2254), Cosine Score: 0.9187713861465454, Label: 1
Pair: (MNG-2818, MNG-2618), Cosine Score: 0.8162219524383545, Label: 1
Pair: (MNG-2877, MNG-2398), Cosine Score: 0.8698451519012451, Label: 1
Pair: (MNG-2914, MNG-1412), Cosine Score: 0.6796914935112, Label: 1
Pair: (MNG-2914, MNG-2541), Cosine Score: 0.7750333547592163, Label: 1
Pair: (MNG-2922, MNG-2808), Cosine Score: 0.8860363960266113, Label: 1
Pair: (MNG-2926, MNG-980), Cosine Score: 0.8600643277168274, Label: 1
Pair: (MNG-2929, MNG-2923), Cosine Score: 0.7840181589126587, Label: 1
Pair: (MNG-2932, MNG-2025), Cosine Score: 0.881121814250946, Label: 1
Pair: (MNG-2932, MNG-2057), Cosine Score: 0.9025862812995911, Label: 1
Pair: (MNG-2932, MNG-2254), Cosine Score: 0.8958895802497864, Label: 1
Pair: (MNG-2932, MNG-2618), Cosine Score: 0.7925683856010437, Label: 1
Pair: (MNG-2932, MNG-2818), Cosine Score: 0.9033929705619812, Label: 1
Pair: (MNG-2946, MNG-1323), Cosine Score: 0.808879017829895, Label: 1
Pair: (MNG-2946, MNG-1836), Cosine Score: 0.8424599170684814, Label: 1
Pair: (MNG-2946, MNG-1949), Cosine Score: 0.7229644060134888, Label: 1
Pair: (MNG-2946, MNG-2174), Cosine Score: 0.7637999653816223, Label: 1
Pair: (MNG-2969, MNG-2163), Cosine Score: 0.8667986989021301, Label: 1
Pair: (MNG-2969, MNG-2448), Cosine Score: 0.8736275434494019, Label: 1
Pair: (MNG-2978, MNG-3109), Cosine Score: 0.7673859000205994, Label: 1
Pair: (MNG-2982, MNG-2157), Cosine Score: 0.8259064555168152, Label: 1
Pair: (MNG-2994, MNG-2525), Cosine Score: 0.8022481203079224, Label: 1
Pair: (MNG-3001, MNG-3109), Cosine Score: 0.7594527006149292, Label: 1
Pair: (MNG-3001, MNG-2978), Cosine Score: 0.9551668167114258, Label: 1
Pair: (MNG-3009, MNG-2653), Cosine Score: 0.8614433407783508, Label: 1
Pair: (MNG-3009, MNG-2339), Cosine Score: 0.8046190738677979, Label: 1
Pair: (MNG-3009, MNG-2651), Cosine Score: 0.7782399654388428, Label: 1
Pair: (MNG-3009, MNG-2745), Cosine Score: 0.7214938998222351, Label: 1
Pair: (MNG-3009, MNG-2782), Cosine Score: 0.8918139338493347, Label: 1
Pair: (MNG-3010, MNG-2210), Cosine Score: 0.9243446588516235, Label: 1
Pair: (MNG-3017, MNG-1775), Cosine Score: 0.8068473935127258, Label: 1
Pair: (MNG-3017, MNG-2363), Cosine Score: 0.8262989521026611, Label: 1
Pair: (MNG-3017, MNG-2627), Cosine Score: 0.7693115472793579, Label: 1
Pair: (MNG-3017, MNG-2809), Cosine Score: 0.6704167127609253, Label: 1
Pair: (MNG-3051, MNG-2234), Cosine Score: 0.9004048705101013, Label: 1
Pair: (MNG-3054, MNG-2938), Cosine Score: 0.8982568383216858, Label: 1
Pair: (MNG-3076, MNG-3043), Cosine Score: 0.8077179193496704, Label: 1
Pair: (MNG-3086, MNG-2123), Cosine Score: 0.8775681257247925, Label: 1
Pair: (MNG-3087, MNG-3084), Cosine Score: 0.8418433666229248, Label: 1
Pair: (MNG-3092, MNG-3109), Cosine Score: 0.7529255747795105, Label: 1
Pair: (MNG-3092, MNG-2978), Cosine Score: 0.9463052153587341, Label: 1
Pair: (MNG-3092, MNG-3001), Cosine Score: 0.9370203018188477, Label: 1
Pair: (MNG-3112, MNG-1958), Cosine Score: 0.530112624168396, Label: 1
Pair: (MNG-3112, MNG-1967), Cosine Score: 0.4678678512573242, Label: 1
Pair: (MNG-3126, MNG-3084), Cosine Score: 0.9375514388084412, Label: 1
Pair: (MNG-3126, MNG-3087), Cosine Score: 0.8866255879402161, Label: 1
Pair: (MNG-3134, MNG-2209), Cosine Score: 0.8590025901794434, Label: 1
Pair: (MNG-3158, MNG-3137), Cosine Score: 0.712605357170105, Label: 1
Pair: (MNG-3180, MNG-3159), Cosine Score: 0.9300832152366638, Label: 1
Pair: (MNG-3202, MNG-1914), Cosine Score: 0.906395435333252, Label: 1
Pair: (MNG-3235, MNG-1928), Cosine Score: 0.8796440958976746, Label: 1
Pair: (MNG-3235, MNG-2236), Cosine Score: 0.8836502432823181, Label: 1
Pair: (MNG-3235, MNG-3099), Cosine Score: 0.8696835041046143, Label: 1
Pair: (MNG-3235, MNG-2716), Cosine Score: 0.8609035015106201, Label: 1
Pair: (MNG-3235, MNG-2918), Cosine Score: 0.8661941289901733, Label: 1
Pair: (MNG-3242, MNG-3241), Cosine Score: 1, Label: 1
Pair: (MNG-3243, MNG-3241), Cosine Score: 0.996478259563446, Label: 1
Pair: (MNG-3243, MNG-3242), Cosine Score: 0.996478259563446, Label: 1
Pair: (MNG-3253, MNG-657), Cosine Score: 0.7587692737579346, Label: 1
Pair: (MNG-3289, MNG-3249), Cosine Score: 0.7168287634849548, Label: 1
Pair: (MNG-3296, MNG-3084), Cosine Score: 0.8840335011482239, Label: 1
Pair: (MNG-3296, MNG-3087), Cosine Score: 0.9091600775718689, Label: 1
Pair: (MNG-3296, MNG-3126), Cosine Score: 0.8760919570922852, Label: 1
Pair: (MNG-3314, MNG-2433), Cosine Score: 0.8191243410110474, Label: 1
Pair: (MNG-3315, MNG-3133), Cosine Score: 0.7696435451507568, Label: 1
Pair: (MNG-3337, MNG-1928), Cosine Score: 0.8367205858230591, Label: 1
Pair: (MNG-3337, MNG-2236), Cosine Score: 0.6749684810638428, Label: 1
Pair: (MNG-3337, MNG-3099), Cosine Score: 0.7909789085388184, Label: 1
Pair: (MNG-3337, MNG-2716), Cosine Score: 0.8298932909965515, Label: 1
Pair: (MNG-3337, MNG-2918), Cosine Score: 0.7146998047828674, Label: 1
Pair: (MNG-3337, MNG-3235), Cosine Score: 0.7585477828979492, Label: 1
Pair: (MNG-3339, MNG-2502), Cosine Score: 0.749024510383606, Label: 1
Pair: (MNG-3349, MNG-870), Cosine Score: 0.7383134365081787, Label: 1
Pair: (MNG-3349, MNG-1883), Cosine Score: 0.625341534614563, Label: 1
Pair: (MNG-3349, MNG-2135), Cosine Score: 0.7115948796272278, Label: 1
Pair: (MNG-3349, MNG-2677), Cosine Score: 0.6776289343833923, Label: 1
Pair: (MNG-3355, MNG-2220), Cosine Score: 0.9899469017982483, Label: 1
Pair: (MNG-3372, MNG-2928), Cosine Score: 0.8383013010025024, Label: 1
Pair: (MNG-3385, MNG-2578), Cosine Score: 0.9080628752708435, Label: 1
Pair: (MNG-3387, MNG-4377), Cosine Score: 0.6870959997177124, Label: 1
Pair: (MNG-3398, MNG-1701), Cosine Score: 0.749218225479126, Label: 1
Pair: (MNG-3399, MNG-2941), Cosine Score: 0.7798555493354797, Label: 1
Pair: (MNG-3401, MNG-3425), Cosine Score: 0.841495156288147, Label: 1
Pair: (MNG-3415, MNG-2941), Cosine Score: 0.8272014856338501, Label: 1
Pair: (MNG-3415, MNG-3399), Cosine Score: 0.7563349008560181, Label: 1
Pair: (MNG-3420, MNG-2151), Cosine Score: 0.794940710067749, Label: 1
Pair: (MNG-3420, MNG-2720), Cosine Score: 0.8443054556846619, Label: 1
Pair: (MNG-3422, MNG-3352), Cosine Score: 0.8107718825340271, Label: 1
Pair: (MNG-3426, MNG-2972), Cosine Score: 0.891002893447876, Label: 1
Pair: (MNG-3426, MNG-3059), Cosine Score: 0.7474135756492615, Label: 1
Pair: (MNG-3443, MNG-1995), Cosine Score: 0.7202594876289368, Label: 1
Pair: (MNG-3443, MNG-2223), Cosine Score: 0.7267060875892639, Label: 1
Pair: (MNG-3452, MNG-3391), Cosine Score: 0.9263396263122559, Label: 1
Pair: (MNG-3486, MNG-1944), Cosine Score: 0.7515887022018433, Label: 1
Pair: (MNG-3506, MNG-1682), Cosine Score: 0.7786096334457397, Label: 1
Pair: (MNG-3506, MNG-2240), Cosine Score: 0.8378163576126099, Label: 1
Pair: (MNG-3506, MNG-2426), Cosine Score: 0.8956605195999146, Label: 1
Pair: (MNG-3506, MNG-2534), Cosine Score: 0.8378923535346985, Label: 1
Pair: (MNG-3521, MNG-2578), Cosine Score: 0.8029319047927856, Label: 1
Pair: (MNG-3521, MNG-3385), Cosine Score: 0.8979753851890564, Label: 1
Pair: (MNG-3524, MNG-1775), Cosine Score: 0.8251491189002991, Label: 1
Pair: (MNG-3524, MNG-2363), Cosine Score: 0.8013731837272644, Label: 1
Pair: (MNG-3524, MNG-2627), Cosine Score: 0.7632147073745728, Label: 1
Pair: (MNG-3524, MNG-2809), Cosine Score: 0.7451992034912109, Label: 1
Pair: (MNG-3524, MNG-3017), Cosine Score: 0.8118074536323547, Label: 1
Pair: (MNG-3524, MNG-3140), Cosine Score: 0.7973425984382629, Label: 1
Pair: (MNG-3528, MNG-3522), Cosine Score: 0.82053142786026, Label: 1
Pair: (MNG-3545, MNG-3527), Cosine Score: 0.8411197662353516, Label: 1
Pair: (MNG-3560, MNG-3330), Cosine Score: 0.8421913385391235, Label: 1
Pair: (MNG-3563, MNG-3542), Cosine Score: 0.8701421618461609, Label: 1
Pair: (MNG-3593, MNG-2433), Cosine Score: 0.8766523003578186, Label: 1
Pair: (MNG-3593, MNG-3314), Cosine Score: 0.8029505014419556, Label: 1
Pair: (MNG-3614, MNG-2276), Cosine Score: 0.8492940664291382, Label: 1
Pair: (MNG-3618, MNG-3580), Cosine Score: 0.8975968956947327, Label: 1
Pair: (MNG-3640, MNG-3527), Cosine Score: 0.8263676166534424, Label: 1
Pair: (MNG-3640, MNG-3545), Cosine Score: 0.890694797039032, Label: 1
Pair: (MNG-3645, MNG-2747), Cosine Score: 0.9102699160575867, Label: 1
Pair: (MNG-3662, MNG-3657), Cosine Score: 0.7952739000320435, Label: 1
Pair: (MNG-3712, MNG-3586), Cosine Score: 0.9174065589904785, Label: 1
Pair: (MNG-4369, MNG-624), Cosine Score: 0.7316833734512329, Label: 1
Pair: (MNG-4369, MNG-2971), Cosine Score: 0.8597511053085327, Label: 1
Pair: (MNG-4369, MNG-2569), Cosine Score: 0.6504936814308167, Label: 1
Pair: (MNG-4369, MNG-2756), Cosine Score: 0.7004021406173706, Label: 1
Pair: (MNG-3727, MNG-1549), Cosine Score: 0.7023271322250366, Label: 1
Pair: (MNG-3727, MNG-2608), Cosine Score: 0.8003324270248413, Label: 1
Pair: (MNG-3727, MNG-3513), Cosine Score: 0.8016666769981384, Label: 1
Pair: (MNG-3734, MNG-3616), Cosine Score: 0.8575760126113892, Label: 1
Pair: (MNG-3751, MNG-2222), Cosine Score: 0.8364907503128052, Label: 1
Pair: (MNG-3766, MNG-3429), Cosine Score: 0.8243951797485352, Label: 1
Pair: (MNG-3773, MNG-3228), Cosine Score: 0.8736639022827148, Label: 1
Pair: (MNG-3788, MNG-2605), Cosine Score: 0.815801739692688, Label: 1
Pair: (MNG-3802, MNG-3627), Cosine Score: 0.8123074173927307, Label: 1
Pair: (MNG-3884, MNG-1992), Cosine Score: 0.7734203934669495, Label: 1
Pair: (MNG-3897, MNG-3228), Cosine Score: 0.8869487047195435, Label: 1
Pair: (MNG-3897, MNG-3773), Cosine Score: 0.8527021408081055, Label: 1
Pair: (MNG-3946, MNG-2577), Cosine Score: 0.6974085569381714, Label: 1
Pair: (MNG-3950, MNG-1323), Cosine Score: 0.8808743953704834, Label: 1
Pair: (MNG-3950, MNG-1836), Cosine Score: 0.8754894137382507, Label: 1
Pair: (MNG-3950, MNG-1949), Cosine Score: 0.7333329319953918, Label: 1
Pair: (MNG-3950, MNG-2174), Cosine Score: 0.697837233543396, Label: 1
Pair: (MNG-3950, MNG-2946), Cosine Score: 0.8319909572601318, Label: 1
Pair: (MNG-3994, MNG-3529), Cosine Score: 0.9447054266929626, Label: 1
Pair: (MNG-4032, MNG-2151), Cosine Score: 0.7484153509140015, Label: 1
Pair: (MNG-4032, MNG-2720), Cosine Score: 0.8729068040847778, Label: 1
Pair: (MNG-4032, MNG-3420), Cosine Score: 0.8309698700904846, Label: 1
Pair: (MNG-4034, MNG-3957), Cosine Score: 0.7971142530441284, Label: 1
Pair: (MNG-4052, MNG-3939), Cosine Score: 0.8139410614967346, Label: 1
Pair: (MNG-4054, MNG-2452), Cosine Score: 0.810932993888855, Label: 1
Pair: (MNG-4080, MNG-3580), Cosine Score: 0.9084314107894897, Label: 1
Pair: (MNG-4080, MNG-3618), Cosine Score: 0.868541955947876, Label: 1
Pair: (MNG-4083, MNG-3747), Cosine Score: 0.8639450073242188, Label: 1
Pair: (MNG-4088, MNG-2276), Cosine Score: 0.7691931128501892, Label: 1
Pair: (MNG-4088, MNG-3614), Cosine Score: 0.8769752979278564, Label: 1
Pair: (MNG-4089, MNG-3109), Cosine Score: 0.760853111743927, Label: 1
Pair: (MNG-4089, MNG-2978), Cosine Score: 0.7862833738327026, Label: 1
Pair: (MNG-4089, MNG-3001), Cosine Score: 0.7868290543556213, Label: 1
Pair: (MNG-4089, MNG-3092), Cosine Score: 0.8233258724212646, Label: 1
Pair: (MNG-4090, MNG-3397), Cosine Score: 0.7112345695495605, Label: 1
Pair: (MNG-4113, MNG-4053), Cosine Score: 0.788097083568573, Label: 1
Pair: (MNG-4120, MNG-1775), Cosine Score: 0.7052116394042969, Label: 1
Pair: (MNG-4120, MNG-2363), Cosine Score: 0.8278942704200745, Label: 1
Pair: (MNG-4120, MNG-2627), Cosine Score: 0.6797934770584106, Label: 1
Pair: (MNG-4120, MNG-2809), Cosine Score: 0.5949234366416931, Label: 1
Pair: (MNG-4120, MNG-3017), Cosine Score: 0.7404261231422424, Label: 1
Pair: (MNG-4120, MNG-3140), Cosine Score: 0.7674504518508911, Label: 1
Pair: (MNG-4120, MNG-3524), Cosine Score: 0.7145474553108215, Label: 1
Pair: (MNG-4174, MNG-1775), Cosine Score: 0.7776411771774292, Label: 1
Pair: (MNG-4174, MNG-2363), Cosine Score: 0.775873601436615, Label: 1
Pair: (MNG-4174, MNG-2627), Cosine Score: 0.8080596923828125, Label: 1
Pair: (MNG-4174, MNG-2809), Cosine Score: 0.5919529795646667, Label: 1
