Pair: (HBASE-187, HBASE-141), Cosine Score: 0.9652457237243652, Label: 1
Pair: (HBASE-8212, HBASE-8207), Cosine Score: 0.9802607297897339, Label: 1
Pair: (HBASE-8251, HBASE-7824), Cosine Score: 0.9426793456077576, Label: 1
Pair: (HBASE-8277, HBASE-8275), Cosine Score: 0.9586882591247559, Label: 1
Pair: (HBASE-8428, HBASE-8297), Cosine Score: 0.9670717120170593, Label: 1
Pair: (HBASE-8490, HBASE-5356), Cosine Score: 0.9832169413566589, Label: 1
Pair: (HBASE-8612, HBASE-8590), Cosine Score: 0.9830647110939026, Label: 1
Pair: (HBASE-8992, HBASE-8991), Cosine Score: 0.9987900257110596, Label: 1
Pair: (HBASE-9245, HBASE-9176), Cosine Score: 0.9442803859710693, Label: 1
Pair: (HBASE-9427, HBASE-8781), Cosine Score: 0.9727751612663269, Label: 1
Pair: (HBASE-9545, HBASE-9498), Cosine Score: 0.9811769723892212, Label: 1
Pair: (HBASE-9760, HBASE-8859), Cosine Score: 0.9805886745452881, Label: 1
Pair: (HBASE-9798, HBASE-9666), Cosine Score: 0.981991708278656, Label: 1
Pair: (HBASE-10349, HBASE-9738), Cosine Score: 0.9821901321411133, Label: 1
Pair: (HBASE-10371, HBASE-6749), Cosine Score: 0.9924585223197937, Label: 1
Pair: (HBASE-10448, HBASE-8937), Cosine Score: 0.9869633913040161, Label: 1
Pair: (HBASE-10533, HBASE-5841), Cosine Score: 0.976144552230835, Label: 1
Pair: (HBASE-10913, HBASE-10622), Cosine Score: 0.9427031874656677, Label: 1
Pair: (HBASE-11217, HBASE-11036), Cosine Score: 0.9827471375465393, Label: 1
Pair: (HBASE-11360, HBASE-11322), Cosine Score: 0.9811199307441711, Label: 1
Pair: (HBASE-11420, HBASE-11052), Cosine Score: 0.9842248558998108, Label: 1
Pair: (HBASE-11612, HBASE-11333), Cosine Score: 0.9814738631248474, Label: 1
Pair: (HBASE-11613, HBASE-10728), Cosine Score: 0.934787929058075, Label: 1
Pair: (HBASE-11622, HBASE-11609), Cosine Score: 0.9915480017662048, Label: 1
Pair: (HBASE-11669, HBASE-11575), Cosine Score: 0.9617956876754761, Label: 1
Pair: (HBASE-11700, HBASE-11648), Cosine Score: 0.9925695657730103, Label: 1
Pair: (HBASE-11714, HBASE-11374), Cosine Score: 0.9953818321228027, Label: 1
Pair: (HBASE-12006, HBASE-11542), Cosine Score: 0.9872756600379944, Label: 1
Pair: (HBASE-12018, HBASE-11983), Cosine Score: 0.9696999788284302, Label: 1
Pair: (HBASE-12129, HBASE-12074), Cosine Score: 0.9849361777305603, Label: 1
Pair: (HBASE-12241, HBASE-8357), Cosine Score: 0.96962571144104, Label: 1
Pair: (HBASE-12299, HBASE-12294), Cosine Score: 0.989530622959137, Label: 1
Pair: (HBASE-12443, HBASE-11419), Cosine Score: 0.9989109635353088, Label: 1
Pair: (HBASE-12717, HBASE-12716), Cosine Score: 0.9859663248062134, Label: 1
Pair: (HBASE-12791, HBASE-12178), Cosine Score: 0.9550195336341858, Label: 1
Pair: (HBASE-12832, HBASE-12821), Cosine Score: 0.9920303821563721, Label: 1
Pair: (HBASE-12832, HBASE-12828), Cosine Score: 0.9390254616737366, Label: 1
Pair: (HBASE-12897, HBASE-9472), Cosine Score: 0.9537646174430847, Label: 1
Pair: (HBASE-12904, HBASE-12875), Cosine Score: 0.9843655824661255, Label: 1
Pair: (HBASE-12942, HBASE-12393), Cosine Score: 0.976333737373352, Label: 1
Pair: (HBASE-13317, HBASE-12813), Cosine Score: 0.9460499286651611, Label: 1
Pair: (HBASE-13333, HBASE-8157), Cosine Score: 0.9676291346549988, Label: 1
Pair: (HBASE-13353, HBASE-10728), Cosine Score: 0.9303788542747498, Label: 1
Pair: (HBASE-13353, HBASE-11613), Cosine Score: 0.9738410711288452, Label: 1
Pair: (HBASE-13570, HBASE-13490), Cosine Score: 0.9881811141967773, Label: 1
Pair: (HBASE-13732, HBASE-13574), Cosine Score: 0.9965478181838989, Label: 1
Pair: (HBASE-13793, HBASE-13792), Cosine Score: 1, Label: 1
Pair: (HBASE-14018, HBASE-13329), Cosine Score: 0.9777756333351135, Label: 1
Pair: (HBASE-14079, HBASE-14078), Cosine Score: 0.9926517605781555, Label: 1
Pair: (HBASE-14339, HBASE-7743), Cosine Score: 0.9804431200027466, Label: 1
Pair: (HBASE-14653, HBASE-14291), Cosine Score: 0.9964795708656311, Label: 1
Pair: (HBASE-14699, HBASE-6617), Cosine Score: 0.9601945877075195, Label: 1
Pair: (HBASE-14811, HBASE-14777), Cosine Score: 0.969782292842865, Label: 1
Pair: (HBASE-14886, HBASE-14866), Cosine Score: 0.9794871807098389, Label: 1
Pair: (HBASE-14148, HBASE-8394), Cosine Score: 0.8950167298316956, Label: 0
Pair: (HBASE-14873, HBASE-8487), Cosine Score: 0.8983364701271057, Label: 0
Pair: (HBASE-3416, HBASE-9062), Cosine Score: 0.9412058591842651, Label: 0
Pair: (HBASE-9797, HBASE-1440), Cosine Score: 0.9507255554199219, Label: 0
Pair: (HBASE-2374, HBASE-2252), Cosine Score: 0.9476913213729858, Label: 0
Pair: (HBASE-228, HBASE-4148), Cosine Score: 0.9664532542228699, Label: 0
Pair: (HBASE-11844, HBASE-12821), Cosine Score: 0.9171773195266724, Label: 0
Pair: (HBASE-4464, HBASE-637), Cosine Score: 0.8771474957466125, Label: 0
Pair: (HBASE-2663, HBASE-2925), Cosine Score: 0.9482530355453491, Label: 0
Pair: (HBASE-14400, HBASE-8330), Cosine Score: 0.9247760772705078, Label: 0
Pair: (HBASE-2165, HBASE-14022), Cosine Score: 0.9450958967208862, Label: 0
Pair: (HBASE-1459, HBASE-14782), Cosine Score: 0.963862419128418, Label: 0
Pair: (HBASE-12132, HBASE-2083), Cosine Score: 0.955095648765564, Label: 0
Pair: (HBASE-13364, HBASE-1999), Cosine Score: 0.882482647895813, Label: 0
Pair: (HBASE-10947, HBASE-1200), Cosine Score: 0.951387345790863, Label: 0
Pair: (HBASE-6378, HBASE-3976), Cosine Score: 0.9032491445541382, Label: 0
Pair: (HBASE-11659, HBASE-2111), Cosine Score: 0.9308236837387085, Label: 0
Pair: (HBASE-11667, HBASE-5769), Cosine Score: 0.9379594326019287, Label: 0
Pair: (HBASE-12819, HBASE-7104), Cosine Score: 0.9434926509857178, Label: 0
Pair: (HBASE-3190, HBASE-1961), Cosine Score: 0.9774152040481567, Label: 0
Pair: (HBASE-12617, HBASE-1817), Cosine Score: 0.916862428188324, Label: 0
Pair: (HBASE-9366, HBASE-9567), Cosine Score: 0.9545266032218933, Label: 0
Pair: (HBASE-214, HBASE-14700), Cosine Score: 0.910068154335022, Label: 0
Pair: (HBASE-1508, HBASE-6761), Cosine Score: 0.9438514113426208, Label: 0
Pair: (HBASE-4507, HBASE-2185), Cosine Score: 0.9416649341583252, Label: 0
Pair: (HBASE-3952, HBASE-8215), Cosine Score: 0.9714974761009216, Label: 0
Pair: (HBASE-8372, HBASE-12475), Cosine Score: 0.9349347352981567, Label: 0
Pair: (HBASE-8084, HBASE-11423), Cosine Score: 0.9432022571563721, Label: 0
Pair: (HBASE-1923, HBASE-5895), Cosine Score: 0.9347377419471741, Label: 0
Pair: (HBASE-12959, HBASE-3198), Cosine Score: 0.9816188812255859, Label: 0
Pair: (HBASE-4447, HBASE-1862), Cosine Score: 0.9430942535400391, Label: 0
Pair: (HBASE-8555, HBASE-4589), Cosine Score: 0.911586344242096, Label: 0
Pair: (HBASE-5585, HBASE-15149), Cosine Score: 0.952743649482727, Label: 0
Pair: (HBASE-13005, HBASE-11621), Cosine Score: 0.959333598613739, Label: 0
Pair: (HBASE-7115, HBASE-668), Cosine Score: 0.9427192211151123, Label: 0
Pair: (HBASE-9958, HBASE-264), Cosine Score: 0.8923439979553223, Label: 0
Pair: (HBASE-3355, HBASE-4002), Cosine Score: 0.9459896087646484, Label: 0
Pair: (HBASE-4746, HBASE-13267), Cosine Score: 0.9425244927406311, Label: 0
Pair: (HBASE-14816, HBASE-7809), Cosine Score: 0.9337995052337646, Label: 0
Pair: (HBASE-7755, HBASE-11825), Cosine Score: 0.9282466173171997, Label: 0
Pair: (HBASE-4030, HBASE-4891), Cosine Score: 0.935722291469574, Label: 0
Pair: (HBASE-13319, HBASE-3888), Cosine Score: 0.9495428204536438, Label: 0
Pair: (HBASE-618, HBASE-11955), Cosine Score: 0.9284062385559082, Label: 0
Pair: (HBASE-4840, HBASE-5052), Cosine Score: 0.873710036277771, Label: 0
Pair: (HBASE-8177, HBASE-5646), Cosine Score: 0.9490069150924683, Label: 0
Pair: (HBASE-11695, HBASE-12501), Cosine Score: 0.9600316882133484, Label: 0
Pair: (HBASE-12024, HBASE-1038), Cosine Score: 0.9131212830543518, Label: 0
Pair: (HBASE-7330, HBASE-9946), Cosine Score: 0.9593629240989685, Label: 0
Pair: (HBASE-2039, HBASE-7360), Cosine Score: 0.9624365568161011, Label: 0
Pair: (HBASE-14858, HBASE-12622), Cosine Score: 0.8685061931610107, Label: 0
Pair: (HBASE-6887, HBASE-14395), Cosine Score: 0.9476407766342163, Label: 0
Pair: (HBASE-2240, HBASE-2911), Cosine Score: 0.9424149394035339, Label: 0
Pair: (HBASE-2645, HBASE-7185), Cosine Score: 0.9427398443222046, Label: 0
Pair: (HBASE-1134, HBASE-609), Cosine Score: 0.9436632394790649, Label: 0
Pair: (HBASE-8337, HBASE-1586), Cosine Score: 0.9455116391181946, Label: 0
Pair: (HBASE-2414, HBASE-5027), Cosine Score: 0.959164023399353, Label: 0
Pair: (HBASE-3583, HBASE-1824), Cosine Score: 0.9011420607566833, Label: 0
Pair: (HBASE-1979, HBASE-1338), Cosine Score: 0.9476199150085449, Label: 0
Pair: (HBASE-6116, HBASE-867), Cosine Score: 0.9595102667808533, Label: 0
Pair: (HBASE-1450, HBASE-93), Cosine Score: 0.9618388414382935, Label: 0
Pair: (HBASE-6395, HBASE-986), Cosine Score: 0.9450402855873108, Label: 0
Pair: (HBASE-3941, HBASE-13210), Cosine Score: 0.9503791928291321, Label: 0
Pair: (HBASE-14802, HBASE-5416), Cosine Score: 0.8755042552947998, Label: 0
Pair: (HBASE-6868, HBASE-2569), Cosine Score: 0.9625440239906311, Label: 0
Pair: (HBASE-8469, HBASE-4408), Cosine Score: 0.9373496770858765, Label: 0
Pair: (HBASE-12953, HBASE-485), Cosine Score: 0.9824279546737671, Label: 0
Pair: (HBASE-1374, HBASE-5135), Cosine Score: 0.9718765020370483, Label: 0
Pair: (HBASE-14151, HBASE-4091), Cosine Score: 0.9433356523513794, Label: 0
Pair: (HBASE-8865, HBASE-1814), Cosine Score: 0.9364616274833679, Label: 0
Pair: (HBASE-10050, HBASE-11422), Cosine Score: 0.9258180260658264, Label: 0
Pair: (HBASE-4546, HBASE-3055), Cosine Score: 0.9646540880203247, Label: 0
Pair: (HBASE-12514, HBASE-12305), Cosine Score: 0.9402720332145691, Label: 0
Pair: (HBASE-3315, HBASE-13145), Cosine Score: 0.9492387771606445, Label: 0
Pair: (HBASE-6781, HBASE-11755), Cosine Score: 0.9413451552391052, Label: 0
Pair: (HBASE-12845, HBASE-1739), Cosine Score: 0.9436243176460266, Label: 0
Pair: (HBASE-14335, HBASE-12581), Cosine Score: 0.9795604348182678, Label: 0
Pair: (HBASE-7543, HBASE-8014), Cosine Score: 0.9683403372764587, Label: 0
Pair: (HBASE-10443, HBASE-11593), Cosine Score: 0.9319539070129395, Label: 0
Pair: (HBASE-12115, HBASE-8420), Cosine Score: 0.9565622210502625, Label: 0
Pair: (HBASE-8784, HBASE-12674), Cosine Score: 0.8907704949378967, Label: 0
Pair: (HBASE-14592, HBASE-3139), Cosine Score: 0.9732010364532471, Label: 0
Pair: (HBASE-9550, HBASE-9786), Cosine Score: 0.956318736076355, Label: 0
Pair: (HBASE-11658, HBASE-12003), Cosine Score: 0.9069589972496033, Label: 0
Pair: (HBASE-6102, HBASE-13185), Cosine Score: 0.9154818654060364, Label: 0
Pair: (HBASE-11289, HBASE-3733), Cosine Score: 0.9148286581039429, Label: 0
Pair: (HBASE-655, HBASE-13795), Cosine Score: 0.9533562064170837, Label: 0
Pair: (HBASE-10734, HBASE-8339), Cosine Score: 0.8644136190414429, Label: 0
Pair: (HBASE-7080, HBASE-7665), Cosine Score: 0.9583186507225037, Label: 0
Pair: (HBASE-13524, HBASE-2896), Cosine Score: 0.9462926387786865, Label: 0
Pair: (HBASE-15158, HBASE-12371), Cosine Score: 0.9611940383911133, Label: 0
Pair: (HBASE-2592, HBASE-12573), Cosine Score: 0.9416308999061584, Label: 0
Pair: (HBASE-4194, HBASE-10295), Cosine Score: 0.9388075470924377, Label: 0
Pair: (HBASE-1628, HBASE-13412), Cosine Score: 0.9227692484855652, Label: 0
Pair: (HBASE-7581, HBASE-6379), Cosine Score: 0.9070752263069153, Label: 0
Pair: (HBASE-76, HBASE-1534), Cosine Score: 0.9610034227371216, Label: 0
Pair: (HBASE-10411, HBASE-7762), Cosine Score: 0.9690707921981812, Label: 0
Pair: (HBASE-4201, HBASE-13588), Cosine Score: 0.9042782187461853, Label: 0
Pair: (HBASE-1999, HBASE-4657), Cosine Score: 0.922133207321167, Label: 0
Pair: (HBASE-1071, HBASE-4706), Cosine Score: 0.9064277410507202, Label: 0
Pair: (HBASE-10639, HBASE-5484), Cosine Score: 0.9540995955467224, Label: 0
Pair: (HBASE-2977, HBASE-2389), Cosine Score: 0.8833855390548706, Label: 0
Pair: (HBASE-12961, HBASE-9398), Cosine Score: 0.9440613985061646, Label: 0
Pair: (HBASE-3183, HBASE-12323), Cosine Score: 0.9283993244171143, Label: 0
Pair: (HBASE-3073, HBASE-12895), Cosine Score: 0.928127646446228, Label: 0
Pair: (HBASE-6620, HBASE-5725), Cosine Score: 0.9705933332443237, Label: 0
