Pair: (CB-149, CB-136), Cosine Score: 0.9685993790626526, Label: 1
Pair: (CB-5085, CB-4725), Cosine Score: 0.9670491814613342, Label: 1
Pair: (CB-5093, CB-4985), Cosine Score: 0.8550995588302612, Label: 1
Pair: (CB-5095, CB-4811), Cosine Score: 0.867572546005249, Label: 1
Pair: (CB-5095, CB-5005), Cosine Score: 0.8025661706924438, Label: 1
Pair: (CB-5095, CB-5074), Cosine Score: 0.8806169033050537, Label: 1
Pair: (CB-5096, CB-4811), Cosine Score: 0.9045485854148865, Label: 1
Pair: (CB-5096, CB-5005), Cosine Score: 0.8557227253913879, Label: 1
Pair: (CB-5096, CB-5074), Cosine Score: 0.9209365248680115, Label: 1
Pair: (CB-5096, CB-5095), Cosine Score: 0.89830482006073, Label: 1
Pair: (CB-5098, CB-4811), Cosine Score: 0.7809849977493286, Label: 1
Pair: (CB-5098, CB-5005), Cosine Score: 0.7722097635269165, Label: 1
Pair: (CB-5098, CB-5074), Cosine Score: 0.8496431112289429, Label: 1
Pair: (CB-5098, CB-5095), Cosine Score: 0.7784817814826965, Label: 1
Pair: (CB-5098, CB-5096), Cosine Score: 0.8124518990516663, Label: 1
Pair: (CB-5140, CB-5139), Cosine Score: 0.8963987827301025, Label: 1
Pair: (CB-5146, CB-4971), Cosine Score: 0.7547599077224731, Label: 1
Pair: (CB-5256, CB-4527), Cosine Score: 0.8817622661590576, Label: 1
Pair: (CB-5256, CB-5004), Cosine Score: 0.839791476726532, Label: 1
Pair: (CB-5298, CB-4464), Cosine Score: 0.8649035692214966, Label: 1
Pair: (CB-5332, CB-5328), Cosine Score: 0.9438145160675049, Label: 1
Pair: (CB-5428, CB-4985), Cosine Score: 0.7973918318748474, Label: 1
Pair: (CB-5428, CB-5093), Cosine Score: 0.8853372931480408, Label: 1
Pair: (CB-5431, CB-5336), Cosine Score: 0.9256439805030823, Label: 1
Pair: (CB-5441, CB-4229), Cosine Score: 0.8872376680374146, Label: 1
Pair: (CB-5453, CB-5145), Cosine Score: 0.852182924747467, Label: 1
Pair: (CB-5478, CB-5477), Cosine Score: 1, Label: 1
Pair: (CB-5495, CB-4971), Cosine Score: 0.8584660291671753, Label: 1
Pair: (CB-5495, CB-5146), Cosine Score: 0.7845735549926758, Label: 1
Pair: (CB-5514, CB-4774), Cosine Score: 0.7972484230995178, Label: 1
Pair: (CB-5517, CB-5508), Cosine Score: 0.9037495255470276, Label: 1
Pair: (CB-5568, CB-4971), Cosine Score: 0.8948307633399963, Label: 1
Pair: (CB-5568, CB-5146), Cosine Score: 0.7660619616508484, Label: 1
Pair: (CB-5568, CB-5495), Cosine Score: 0.9113209843635559, Label: 1
Pair: (CB-5576, CB-4899), Cosine Score: 0.8608298301696777, Label: 1
Pair: (CB-5596, CB-5054), Cosine Score: 0.8792107105255127, Label: 1
Pair: (CB-5612, CB-5508), Cosine Score: 0.8586428761482239, Label: 1
Pair: (CB-5612, CB-5517), Cosine Score: 0.829835832118988, Label: 1
Pair: (CB-5628, CB-5508), Cosine Score: 0.9613195061683655, Label: 1
Pair: (CB-5628, CB-5517), Cosine Score: 0.9123504757881165, Label: 1
Pair: (CB-5628, CB-5612), Cosine Score: 0.8437411189079285, Label: 1
Pair: (CB-5635, CB-2293), Cosine Score: 0.9628532528877258, Label: 1
Pair: (CB-5635, CB-4479), Cosine Score: 0.8709219694137573, Label: 1
Pair: (CB-5659, CB-4330), Cosine Score: 0.7739835977554321, Label: 1
Pair: (CB-5672, CB-5660), Cosine Score: 0.8922633528709412, Label: 1
Pair: (CB-5675, CB-5047), Cosine Score: 0.6680833101272583, Label: 1
Pair: (CB-5716, CB-5589), Cosine Score: 0.8413185477256775, Label: 1
Pair: (CB-5778, CB-5701), Cosine Score: 0.8503450751304626, Label: 1
Pair: (CB-5783, CB-5647), Cosine Score: 0.8800076842308044, Label: 1
Pair: (CB-5844, CB-5647), Cosine Score: 0.9003103375434875, Label: 1
Pair: (CB-5844, CB-5783), Cosine Score: 0.852611243724823, Label: 1
Pair: (CB-5851, CB-4561), Cosine Score: 0.9102633595466614, Label: 1
Pair: (CB-5897, CB-5728), Cosine Score: 0.8531612157821655, Label: 1
Pair: (CB-5936, CB-5578), Cosine Score: 0.7091102004051208, Label: 1
Pair: (CB-5944, CB-5465), Cosine Score: 0.9317543506622314, Label: 1
Pair: (CB-5949, CB-5238), Cosine Score: 0.6647137999534607, Label: 1
Pair: (CB-6034, CB-2293), Cosine Score: 0.9046396017074585, Label: 1
Pair: (CB-6034, CB-4479), Cosine Score: 0.868840217590332, Label: 1
Pair: (CB-6034, CB-5635), Cosine Score: 0.9262770414352417, Label: 1
Pair: (CB-6061, CB-6060), Cosine Score: 1, Label: 1
Pair: (CB-6062, CB-6060), Cosine Score: 1, Label: 1
Pair: (CB-6062, CB-6061), Cosine Score: 1, Label: 1
Pair: (CB-6063, CB-6060), Cosine Score: 1, Label: 1
Pair: (CB-6063, CB-6061), Cosine Score: 1, Label: 1
Pair: (CB-6063, CB-6062), Cosine Score: 1, Label: 1
Pair: (CB-6064, CB-6060), Cosine Score: 1, Label: 1
Pair: (CB-6064, CB-6061), Cosine Score: 1, Label: 1
Pair: (CB-6064, CB-6062), Cosine Score: 1, Label: 1
Pair: (CB-6064, CB-6063), Cosine Score: 1, Label: 1
Pair: (CB-6168, CB-5446), Cosine Score: 0.8478142023086548, Label: 1
Pair: (CB-6175, CB-6172), Cosine Score: 0.8830773830413818, Label: 1
Pair: (CB-6224, CB-6223), Cosine Score: 0.956183135509491, Label: 1
Pair: (CB-6234, CB-6223), Cosine Score: 0.9752097725868225, Label: 1
Pair: (CB-6234, CB-6224), Cosine Score: 0.9518397450447083, Label: 1
Pair: (CB-6266, CB-4100), Cosine Score: 0.8024724721908569, Label: 1
Pair: (CB-6295, CB-6205), Cosine Score: 0.9150909781455994, Label: 1
Pair: (CB-6305, CB-4863), Cosine Score: 0.8695193529129028, Label: 1
Pair: (CB-6361, CB-6360), Cosine Score: 0.997963011264801, Label: 1
Pair: (CB-6362, CB-6360), Cosine Score: 0.997963011264801, Label: 1
Pair: (CB-6362, CB-6361), Cosine Score: 1, Label: 1
Pair: (CB-6363, CB-6360), Cosine Score: 0.997963011264801, Label: 1
Pair: (CB-6363, CB-6361), Cosine Score: 1, Label: 1
Pair: (CB-6363, CB-6362), Cosine Score: 1, Label: 1
Pair: (CB-6364, CB-6360), Cosine Score: 0.997963011264801, Label: 1
Pair: (CB-6364, CB-6361), Cosine Score: 1, Label: 1
Pair: (CB-6364, CB-6362), Cosine Score: 1, Label: 1
Pair: (CB-6364, CB-6363), Cosine Score: 1, Label: 1
Pair: (CB-6365, CB-6360), Cosine Score: 0.997963011264801, Label: 1
Pair: (CB-6365, CB-6361), Cosine Score: 1, Label: 1
Pair: (CB-6365, CB-6362), Cosine Score: 1, Label: 1
Pair: (CB-6365, CB-6363), Cosine Score: 1, Label: 1
Pair: (CB-6365, CB-6364), Cosine Score: 1, Label: 1
Pair: (CB-6370, CB-6352), Cosine Score: 0.7176225185394287, Label: 1
Pair: (CB-6423, CB-5488), Cosine Score: 0.6469945907592773, Label: 1
Pair: (CB-6436, CB-5488), Cosine Score: 0.7307721376419067, Label: 1
Pair: (CB-6436, CB-6423), Cosine Score: 0.9133692979812622, Label: 1
Pair: (CB-6462, CB-6026), Cosine Score: 0.8759501576423645, Label: 1
Pair: (CB-6486, CB-6225), Cosine Score: 0.8953066468238831, Label: 1
Pair: (CB-6504, CB-5681), Cosine Score: 0.9681721925735474, Label: 1
Pair: (CB-6505, CB-5671), Cosine Score: 0.8063988089561462, Label: 1
Pair: (CB-6507, CB-6205), Cosine Score: 0.9194204211235046, Label: 1
Pair: (CB-6507, CB-6295), Cosine Score: 0.8506039977073669, Label: 1
Pair: (CB-6627, CB-5589), Cosine Score: 0.8578969240188599, Label: 1
Pair: (CB-6627, CB-5716), Cosine Score: 0.8287811875343323, Label: 1
Pair: (CB-6663, CB-5138), Cosine Score: 0.8519716858863831, Label: 1
Pair: (CB-6670, CB-99), Cosine Score: 0.8414918780326843, Label: 1
Pair: (CB-6670, CB-285), Cosine Score: 0.8056659698486328, Label: 1
Pair: (CB-6690, CB-6689), Cosine Score: 0.9948341846466064, Label: 1
Pair: (CB-6737, CB-6172), Cosine Score: 0.9160524606704712, Label: 1
Pair: (CB-6737, CB-6175), Cosine Score: 0.8234513401985168, Label: 1
Pair: (CB-6749, CB-6172), Cosine Score: 0.8755639791488647, Label: 1
Pair: (CB-6749, CB-6175), Cosine Score: 0.8809980154037476, Label: 1
Pair: (CB-6749, CB-6737), Cosine Score: 0.8748916387557983, Label: 1
Pair: (CB-6750, CB-6720), Cosine Score: 0.9029518961906433, Label: 1
Pair: (CB-6844, CB-6706), Cosine Score: 0.9019585251808167, Label: 1
Pair: (CB-6859, CB-6700), Cosine Score: 0.9195765256881714, Label: 1
Pair: (CB-6935, CB-6428), Cosine Score: 0.8025277853012085, Label: 1
Pair: (CB-6978, CB-6944), Cosine Score: 0.8672955632209778, Label: 1
Pair: (CB-6984, CB-6761), Cosine Score: 0.6677746772766113, Label: 1
Pair: (CB-6993, CB-6414), Cosine Score: 0.7860722541809082, Label: 1
Pair: (CB-7006, CB-6928), Cosine Score: 0.8576938509941101, Label: 1
Pair: (CB-7032, CB-6761), Cosine Score: 0.7461971044540405, Label: 1
Pair: (CB-7032, CB-6984), Cosine Score: 0.6757274866104126, Label: 1
Pair: (CB-7080, CB-6048), Cosine Score: 0.8399881720542908, Label: 1
Pair: (CB-7080, CB-6501), Cosine Score: 0.7767520546913147, Label: 1
Pair: (CB-7104, CB-6761), Cosine Score: 0.6780019998550415, Label: 1
Pair: (CB-7104, CB-6984), Cosine Score: 0.6060265302658081, Label: 1
Pair: (CB-7104, CB-7032), Cosine Score: 0.6708594560623169, Label: 1
Pair: (CB-7116, CB-4731), Cosine Score: 0.8838668465614319, Label: 1
Pair: (CB-7159, CB-2642), Cosine Score: 0.6880876421928406, Label: 1
Pair: (CB-7288, CB-7287), Cosine Score: 0.9970148205757141, Label: 1
Pair: (CB-7292, CB-7061), Cosine Score: 0.8802220225334167, Label: 1
Pair: (CB-7319, CB-7289), Cosine Score: 0.8728935122489929, Label: 1
Pair: (CB-7439, CB-6761), Cosine Score: 0.7011757493019104, Label: 1
Pair: (CB-7439, CB-6984), Cosine Score: 0.6451989412307739, Label: 1
Pair: (CB-7439, CB-7032), Cosine Score: 0.6765362620353699, Label: 1
Pair: (CB-7439, CB-7104), Cosine Score: 0.8423331379890442, Label: 1
Pair: (CB-7466, CB-6825), Cosine Score: 0.97447669506073, Label: 1
Pair: (CB-7473, CB-6785), Cosine Score: 0.9708617329597473, Label: 1
Pair: (CB-7645, CB-7061), Cosine Score: 0.9137916564941406, Label: 1
Pair: (CB-7645, CB-7292), Cosine Score: 0.9662862420082092, Label: 1
Pair: (CB-7678, CB-7677), Cosine Score: 0.9833315014839172, Label: 1
Pair: (CB-7708, CB-7568), Cosine Score: 0.8286464214324951, Label: 1
Pair: (CB-7764, CB-7763), Cosine Score: 0.9453163743019104, Label: 1
Pair: (CB-7828, CB-7827), Cosine Score: 0.9433854222297668, Label: 1
Pair: (CB-7834, CB-7827), Cosine Score: 0.8569803237915039, Label: 1
Pair: (CB-7834, CB-7828), Cosine Score: 0.9109026193618774, Label: 1
Pair: (CB-7836, CB-7827), Cosine Score: 0.8790761828422546, Label: 1
Pair: (CB-7836, CB-7828), Cosine Score: 0.863768994808197, Label: 1
Pair: (CB-7836, CB-7834), Cosine Score: 0.854101300239563, Label: 1
Pair: (CB-7855, CB-6761), Cosine Score: 0.798882782459259, Label: 1
Pair: (CB-7855, CB-6984), Cosine Score: 0.6444756388664246, Label: 1
Pair: (CB-7855, CB-7032), Cosine Score: 0.7702630758285522, Label: 1
Pair: (CB-7855, CB-7104), Cosine Score: 0.6523408889770508, Label: 1
Pair: (CB-7855, CB-7439), Cosine Score: 0.7031593918800354, Label: 1
Pair: (CB-7865, CB-7838), Cosine Score: 0.8849837779998779, Label: 1
Pair: (CB-7868, CB-7848), Cosine Score: 0.8179510235786438, Label: 1
Pair: (CB-7872, CB-7867), Cosine Score: 0.8726186752319336, Label: 1
Pair: (CB-7886, CB-6761), Cosine Score: 0.6156671643257141, Label: 1
Pair: (CB-7886, CB-6984), Cosine Score: 0.5560446381568909, Label: 1
Pair: (CB-7886, CB-7032), Cosine Score: 0.5819396376609802, Label: 1
Pair: (CB-7886, CB-7104), Cosine Score: 0.6471238732337952, Label: 1
Pair: (CB-7886, CB-7439), Cosine Score: 0.7907710671424866, Label: 1
Pair: (CB-7886, CB-7855), Cosine Score: 0.6162847876548767, Label: 1
Pair: (CB-7888, CB-2332), Cosine Score: 0.8539515733718872, Label: 1
Pair: (CB-7898, CB-7675), Cosine Score: 0.9053162932395935, Label: 1
Pair: (CB-7934, CB-7883), Cosine Score: 0.8132797479629517, Label: 1
Pair: (CB-7969, CB-6118), Cosine Score: 0.8560541272163391, Label: 1
Pair: (CB-7993, CB-7848), Cosine Score: 0.8617677092552185, Label: 1
Pair: (CB-7993, CB-7868), Cosine Score: 0.8612752556800842, Label: 1
Pair: (CB-8028, CB-7606), Cosine Score: 0.7981466054916382, Label: 1
Pair: (CB-8031, CB-7968), Cosine Score: 0.8150379061698914, Label: 1
Pair: (CB-8040, CB-4612), Cosine Score: 0.9575667381286621, Label: 1
Pair: (CB-8042, CB-7848), Cosine Score: 0.8824300169944763, Label: 1
Pair: (CB-8042, CB-7868), Cosine Score: 0.9379662275314331, Label: 1
Pair: (CB-8042, CB-7993), Cosine Score: 0.8962746262550354, Label: 1
Pair: (CB-8053, CB-7911), Cosine Score: 0.9184266924858093, Label: 1
Pair: (CB-8174, CB-6768), Cosine Score: 0.9376845955848694, Label: 1
Pair: (CB-8268, CB-7668), Cosine Score: 0.6610370874404907, Label: 1
Pair: (CB-8277, CB-8036), Cosine Score: 0.9186563491821289, Label: 1
Pair: (CB-8304, CB-8296), Cosine Score: 0.911113977432251, Label: 1
Pair: (CB-8378, CB-6154), Cosine Score: 0.7490594983100891, Label: 1
Pair: (CB-8405, CB-8149), Cosine Score: 0.8268769383430481, Label: 1
Pair: (CB-8487, CB-8438), Cosine Score: 0.8120706081390381, Label: 1
Pair: (CB-8505, CB-8084), Cosine Score: 0.9404983520507812, Label: 1
Pair: (CB-8649, CB-7638), Cosine Score: 0.7458757758140564, Label: 1
Pair: (CB-8662, CB-8611), Cosine Score: 0.9019922018051147, Label: 1
Pair: (CB-8713, CB-6026), Cosine Score: 0.9208977222442627, Label: 1
Pair: (CB-8713, CB-6462), Cosine Score: 0.8239123821258545, Label: 1
Pair: (CB-8720, CB-5849), Cosine Score: 0.905034065246582, Label: 1
Pair: (CB-8749, CB-8431), Cosine Score: 0.8907962441444397, Label: 1
Pair: (CB-8787, CB-8498), Cosine Score: 0.9079263806343079, Label: 1
Pair: (CB-8945, CB-8887), Cosine Score: 0.9044758081436157, Label: 1
Pair: (CB-8999, CB-8996), Cosine Score: 0.8187430500984192, Label: 1
Pair: (CB-9043, CB-8272), Cosine Score: 0.8273084759712219, Label: 1
Pair: (CB-9110, CB-7024), Cosine Score: 0.8976264595985413, Label: 1
Pair: (CB-9189, CB-7856), Cosine Score: 0.8057295680046082, Label: 1
Pair: (CB-9207, CB-6176), Cosine Score: 0.9176942110061646, Label: 1
Pair: (CB-9226, CB-6026), Cosine Score: 0.8747735619544983, Label: 1
Pair: (CB-9226, CB-6462), Cosine Score: 0.8130682706832886, Label: 1
Pair: (CB-9226, CB-8713), Cosine Score: 0.8911160826683044, Label: 1
Pair: (CB-9230, CB-8730), Cosine Score: 0.8388370871543884, Label: 1
Pair: (CB-9232, CB-9163), Cosine Score: 0.8676725029945374, Label: 1
Pair: (CB-9251, CB-9220), Cosine Score: 0.8417157530784607, Label: 1
Pair: (CB-9310, CB-9284), Cosine Score: 0.9124176502227783, Label: 1
Pair: (CB-9356, CB-8141), Cosine Score: 0.8134890794754028, Label: 1
Pair: (CB-9371, CB-8953), Cosine Score: 0.74369877576828, Label: 1
Pair: (CB-9391, CB-9351), Cosine Score: 0.936911404132843, Label: 1
Pair: (CB-9477, CB-7856), Cosine Score: 0.8707271814346313, Label: 1
Pair: (CB-9477, CB-9189), Cosine Score: 0.8886380791664124, Label: 1
Pair: (CB-9548, CB-7312), Cosine Score: 0.915780782699585, Label: 1
Pair: (CB-9568, CB-8374), Cosine Score: 0.8716816902160645, Label: 1
Pair: (CB-9630, CB-9628), Cosine Score: 0.8173547983169556, Label: 1
Pair: (CB-9656, CB-9635), Cosine Score: 0.9570561051368713, Label: 1
Pair: (CB-9664, CB-8481), Cosine Score: 0.8293464183807373, Label: 1
Pair: (CB-9676, CB-9569), Cosine Score: 0.8782370686531067, Label: 1
Pair: (CB-9712, CB-9687), Cosine Score: 0.9010922908782959, Label: 1
Pair: (CB-9728, CB-9628), Cosine Score: 0.6477651000022888, Label: 1
Pair: (CB-9728, CB-9630), Cosine Score: 0.7364924550056458, Label: 1
Pair: (CB-9729, CB-9679), Cosine Score: 0.9082353711128235, Label: 1
Pair: (CB-9778, CB-9687), Cosine Score: 0.9333561658859253, Label: 1
Pair: (CB-9778, CB-9712), Cosine Score: 0.9363972544670105, Label: 1
Pair: (CB-9783, CB-9687), Cosine Score: 0.9220644235610962, Label: 1
Pair: (CB-9783, CB-9712), Cosine Score: 0.9460287690162659, Label: 1
Pair: (CB-9783, CB-9778), Cosine Score: 0.9598766565322876, Label: 1
Pair: (CB-9887, CB-9020), Cosine Score: 0.8421444892883301, Label: 1
Pair: (CB-9891, CB-7024), Cosine Score: 0.8745478391647339, Label: 1
Pair: (CB-9891, CB-9110), Cosine Score: 0.8655070662498474, Label: 1
Pair: (CB-9897, CB-7312), Cosine Score: 0.8994870781898499, Label: 1
Pair: (CB-9897, CB-9548), Cosine Score: 0.9249522686004639, Label: 1
Pair: (CB-9898, CB-6167), Cosine Score: 0.854693591594696, Label: 1
Pair: (CB-9930, CB-2648), Cosine Score: 0.8053901791572571, Label: 1
Pair: (CB-9937, CB-9903), Cosine Score: 0.8494956493377686, Label: 1
Pair: (CB-9968, CB-9804), Cosine Score: 0.8738986253738403, Label: 1
Pair: (CB-9986, CB-9020), Cosine Score: 0.8657631278038025, Label: 1
Pair: (CB-9986, CB-9887), Cosine Score: 0.8765010833740234, Label: 1
Pair: (CB-10082, CB-7296), Cosine Score: 0.9388685822486877, Label: 1
Pair: (CB-10093, CB-9960), Cosine Score: 0.834160327911377, Label: 1
Pair: (CB-10101, CB-9602), Cosine Score: 0.8570443391799927, Label: 1
Pair: (CB-10172, CB-10162), Cosine Score: 0.8703911900520325, Label: 1
Pair: (CB-10214, CB-10162), Cosine Score: 0.786815345287323, Label: 1
Pair: (CB-10214, CB-10172), Cosine Score: 0.8740994334220886, Label: 1
Pair: (CB-10219, CB-10120), Cosine Score: 0.8996574282646179, Label: 1
Pair: (CB-10234, CB-9602), Cosine Score: 0.8581441044807434, Label: 1
Pair: (CB-10234, CB-10101), Cosine Score: 0.9309602975845337, Label: 1
Pair: (CB-10258, CB-9528), Cosine Score: 0.8308560252189636, Label: 1
